Lch,Wch,Tch,Tox1,Tox2
16.86,59.46,6.26,0.26,1.75
29.16,41.9,6.25,1.13,2.04
19.33,27.76,7.29,1.18,2.19
25.37,40.59,6.6,0.83,1.55
25.64,60.22,7.42,0.43,1.55
17.99,25.6,6.69,0.95,2.02
15.45,68.42,5.91,0.46,1.73
20.74,53.44,7.39,0.37,1.77
22.61,53.65,5.58,0.55,1.64
27.22,55.36,4.76,0.86,1.97
34.89,77.49,7.38,0.6,1.74
26.12,25.9,6.28,0.61,1.75
34.01,50.53,4.55,0.32,1.64
30.14,75.8,5.89,1.08,2.14
26.34,17.14,7.54,0.5,1.54
32.63,43.81,4.29,0.78,1.7
26.6,23.05,7.43,0.23,2.16
30.47,56.86,6.49,1.19,2.16
34.69,68.3,5.66,0.28,1.71
18.2,59.74,6.11,0.8,1.9
18.49,51.9,4.37,0.21,2.14
34.37,60.85,4.13,0.73,1.67
28.27,40.11,4.06,0.51,1.92
29.84,16.88,4.82,1.12,2.08
18.51,69.43,4.95,0.64,1.51
27.87,62.0,7.0,0.49,1.94
20.05,33.13,7.53,1.06,2.14
15.25,38.61,4.07,0.76,2.03
17.57,49.14,5.82,0.4,1.99
32.7,25.45,4.8,1.07,1.51
30.05,70.18,5.01,0.95,1.6
21.22,79.46,7.29,1.09,1.61
16.88,42.42,4.78,1.02,1.72
21.17,54.84,7.93,0.27,1.82
31.48,50.44,7.84,0.5,1.84
31.9,43.43,6.91,0.95,2.08
26.75,67.37,6.16,0.24,2.03
17.15,70.28,5.2,1.14,1.8
25.27,68.99,5.96,0.93,1.95
20.92,32.06,7.47,0.2,1.76
23.87,44.81,5.95,0.25,2.11
23.37,36.5,7.94,0.71,1.72
34.02,20.42,7.77,1.08,2.07
25.46,29.85,6.01,0.87,1.62
23.57,27.9,4.73,0.35,1.7
27.8,20.19,4.74,0.61,1.95
19.09,58.27,7.63,0.61,2.07
20.07,50.4,7.75,1.1,1.55
24.94,31.89,4.89,0.56,1.5
16.75,66.7,4.6,1.01,1.66
25.11,20.74,6.08,1.02,1.54
18.71,26.66,4.33,0.29,1.6
33.5,16.68,6.3,0.64,1.92
19.47,50.59,5.83,0.29,1.64
28.74,35.41,4.73,0.54,1.88
20.2,59.23,5.93,0.36,2.03
33.79,33.36,6.95,0.47,1.88
18.98,68.91,5.84,0.94,1.8
23.16,57.85,4.49,0.36,1.95
22.94,42.92,6.27,0.87,1.91
27.41,42.84,6.05,0.56,1.77
17.18,53.3,7.36,0.41,1.57
16.32,36.41,7.01,0.64,1.51
32.47,54.4,5.25,0.78,1.69
33.49,59.98,5.24,0.94,1.78
32.58,56.01,6.19,1.11,1.64
25.23,79.02,5.24,0.75,1.87
15.37,41.26,5.56,0.22,1.64
29.65,54.61,6.4,0.95,1.68
22.38,30.66,7.44,0.98,1.56
28.38,43.66,6.06,0.55,1.5
25.57,22.01,4.88,0.3,1.66
17.54,61.35,6.67,0.71,2.19
23.44,57.1,4.53,0.6,2.08
34.81,69.24,6.6,0.45,2.19
33.01,22.27,4.51,0.43,2.12
17.94,49.09,5.61,0.65,1.59
32.74,19.26,5.59,0.73,1.71
25.03,79.15,6.97,0.55,1.74
17.35,75.19,5.35,1.12,2.14
21.96,16.08,4.01,0.98,1.87
16.23,15.93,7.03,0.58,1.69
29.06,22.05,5.59,1.06,2.04
24.36,57.23,5.06,0.53,1.85
16.95,18.32,7.92,0.68,2.12
24.5,32.39,6.7,0.42,1.99
29.58,40.71,4.87,0.45,1.54
27.0,16.01,4.57,0.23,2.08
33.56,23.48,6.49,0.49,2.02
27.71,52.22,7.45,1.05,1.85
34.55,73.0,6.86,1.09,1.82
22.55,24.99,4.99,0.89,2.15
18.23,22.12,4.54,0.36,1.99
23.26,24.82,6.73,1.01,1.97
30.65,43.23,4.12,0.99,2.18
20.6,43.34,7.41,1.04,1.9
20.73,32.82,7.34,1.2,1.52
30.52,45.66,5.58,1.14,1.72
29.99,71.28,7.21,0.58,1.78
16.16,32.23,5.76,0.6,2.14
18.59,45.08,5.21,0.37,1.7
19.51,61.8,6.37,1.03,1.6
20.15,69.11,6.14,0.48,1.6
30.86,60.11,4.55,0.85,1.54
32.52,21.81,5.67,0.57,1.51
17.28,19.92,6.17,1.08,1.92
16.99,67.16,7.14,1.19,1.91
33.68,67.78,4.13,0.58,1.57
19.03,29.89,4.15,0.24,1.81
27.95,64.17,6.39,0.39,2.16
22.45,72.69,7.3,1.17,2.1
16.18,39.76,5.98,0.5,2.05
24.89,20.51,4.8,0.9,1.66
25.86,48.85,6.51,0.82,2.07
24.63,32.03,7.37,0.65,2.11
20.98,51.11,5.18,0.72,2.11
16.4,16.27,4.06,0.67,1.76
18.92,32.76,7.4,0.36,1.96
32.44,23.93,6.8,0.9,1.69
27.62,34.3,5.27,0.48,2.07
33.4,52.68,6.89,1.11,1.72
16.98,23.53,5.99,1.04,1.57
18.07,78.22,5.39,0.4,1.76
23.72,50.81,5.47,1.01,2.06
28.96,24.07,4.4,0.7,2.18
26.0,48.7,5.04,1.15,2.19
29.96,34.65,4.93,0.79,1.69
26.83,25.8,5.54,0.86,1.95
32.6,73.77,7.3,1.06,2.15
23.83,44.53,4.33,0.82,1.86
19.22,47.21,5.75,0.8,1.74
27.57,19.8,4.35,0.87,1.94
25.14,25.69,7.91,0.78,2.11
21.89,79.35,4.91,0.81,1.86
28.48,43.17,6.56,1.06,1.6
19.29,51.83,7.32,0.43,1.55
27.03,70.84,7.05,0.94,1.65
28.64,27.56,4.53,0.44,1.98
34.96,32.22,5.09,1.07,1.94
20.16,34.8,5.58,0.37,1.61
34.73,70.91,5.28,1.04,1.56
33.94,77.12,4.78,1.17,1.87
18.87,69.99,6.98,0.57,2.12
17.92,31.0,5.76,0.77,1.66
16.02,61.21,6.73,0.44,2.12
28.22,61.94,4.75,0.24,2.08
17.46,29.62,7.26,0.25,2.01
33.1,23.31,5.4,0.2,1.98
30.72,59.92,4.83,0.41,2.14
23.48,53.49,6.79,0.97,1.62
17.24,74.81,5.02,0.92,1.89
16.68,26.77,6.14,0.69,1.64
31.22,53.02,5.06,0.33,1.58
18.03,62.79,5.53,0.64,1.89
23.91,24.79,4.03,0.68,1.51
32.01,61.28,6.88,0.53,1.68
25.35,58.98,7.21,0.23,1.53
19.62,34.17,5.71,0.45,2.08
28.18,73.34,7.03,0.67,1.52
16.58,46.45,4.34,1.08,1.99
25.96,78.12,5.98,0.39,1.55
33.73,76.07,7.01,0.38,1.97
30.5,50.23,6.61,0.71,2.18
34.31,49.24,6.85,0.9,1.92
16.91,64.51,6.51,0.48,1.99
34.42,24.48,4.97,0.47,1.88
22.96,74.25,7.91,0.74,1.89
21.76,52.36,6.27,0.55,1.83
22.82,26.28,4.71,0.46,1.66
21.56,78.45,5.72,0.57,1.59
34.16,49.37,6.33,1.18,1.95
15.21,77.2,6.21,1.04,1.71
34.24,43.97,5.9,0.79,2.06
24.02,57.3,7.18,0.6,1.76
25.09,58.88,7.14,0.73,1.59
16.56,30.94,7.02,0.69,1.84
20.7,51.42,6.3,0.91,1.92
17.3,54.23,7.83,0.56,1.64
27.69,63.31,4.55,1.09,2.09
32.09,25.12,6.72,0.51,1.58
30.98,20.93,5.37,1.06,1.61
23.69,75.17,7.35,0.98,2.02
34.67,22.35,5.09,0.78,1.79
30.79,18.68,6.33,1.02,1.63
16.11,69.39,7.72,0.49,1.88
32.84,53.58,6.21,0.81,1.95
16.81,65.51,5.79,0.41,1.97
34.61,71.38,4.09,0.69,1.71
24.35,24.53,4.15,0.75,1.61
16.59,73.61,5.6,1.0,2.12
31.15,44.11,4.5,0.4,1.93
17.7,76.63,5.14,0.96,2.12
28.04,47.65,5.13,0.96,1.97
31.38,30.32,6.24,1.0,2.17
34.33,69.84,6.01,0.32,1.58
27.46,27.04,4.66,0.86,2.0
27.3,68.08,7.94,0.59,1.97
32.28,33.89,4.52,0.88,1.82
31.79,61.75,5.86,1.08,1.67
18.69,78.28,4.33,0.35,1.67
19.19,46.56,5.03,0.29,1.58
24.02,21.92,6.83,1.09,1.88
34.05,44.16,5.12,0.29,1.83
29.3,52.52,4.81,0.73,1.93
17.21,74.06,7.71,0.63,1.81
24.69,20.79,4.18,0.97,2.09
34.98,68.79,4.0,0.22,1.96
34.71,28.89,6.12,0.89,2.02
25.75,47.04,6.97,0.25,1.56
20.49,56.28,4.5,1.01,1.79
29.33,25.05,6.53,0.82,1.77
21.21,69.72,4.58,0.65,1.94
15.68,31.5,5.47,0.85,1.93
20.94,68.88,4.93,0.98,2.19
18.63,26.42,4.97,0.77,1.51
21.82,18.87,5.05,0.59,1.95
16.77,65.25,4.99,0.37,1.53
21.51,35.14,6.22,0.82,1.63
30.46,39.05,7.76,0.31,2.13
24.92,62.13,4.89,0.23,1.62
30.15,51.01,7.32,1.12,1.66
15.84,55.44,6.09,0.58,1.86
22.06,51.64,7.18,0.56,1.56
24.47,26.46,6.48,0.52,2.01
21.32,19.41,5.72,1.13,1.78
16.19,31.14,5.34,0.33,2.17
32.66,46.19,4.16,0.24,1.56
15.62,55.64,5.16,0.45,1.66
16.34,50.36,6.98,0.26,2.13
20.82,16.5,4.38,0.67,2.17
32.33,33.96,6.92,0.38,1.79
28.42,35.0,6.02,0.8,2.19
20.26,35.24,5.29,0.67,1.63
31.71,40.19,7.59,0.97,1.68
28.07,29.09,7.48,0.94,1.55
31.19,21.49,4.35,0.22,1.58
21.55,21.15,7.71,0.7,1.8
21.33,16.78,4.03,1.17,1.9
22.11,45.33,6.38,0.43,1.85
24.29,40.63,4.25,0.69,1.67
25.4,67.49,5.46,0.76,1.63
25.9,55.04,5.44,0.69,1.79
22.43,40.31,7.43,0.48,1.53
27.51,76.2,7.81,0.48,1.52
16.38,30.09,7.22,0.37,2.08
29.88,57.33,5.71,0.57,2.02
30.31,34.4,7.88,0.44,2.04
22.71,47.94,7.95,1.09,1.98
29.11,57.73,6.73,0.24,1.51
21.25,19.87,6.77,0.42,1.65
25.21,46.12,6.23,0.67,2.01
15.87,17.18,5.38,0.62,1.56
24.13,49.94,4.7,0.2,1.96
15.72,73.4,5.68,0.62,1.56
32.17,23.16,7.67,0.77,2.16
34.8,35.06,5.01,0.8,1.93
21.26,57.66,5.44,0.59,1.94
17.8,79.96,5.78,0.88,1.7
15.33,17.55,4.12,0.32,1.61
23.73,17.64,6.53,0.25,1.9
33.45,52.84,4.83,0.26,1.71
31.84,41.45,5.59,0.54,1.59
25.05,18.16,6.54,0.31,1.67
33.03,29.74,6.28,0.63,1.75
15.77,44.73,5.66,0.6,1.65
18.28,63.76,4.56,0.86,1.74
15.12,75.66,6.31,1.03,2.06
21.92,66.58,5.81,1.18,1.91
24.27,27.18,6.45,0.58,1.72
29.57,56.89,5.96,0.94,1.53
15.99,45.49,7.45,0.6,2.09
15.66,66.84,7.24,1.12,1.85
21.36,77.21,7.62,0.6,2.0
22.41,36.69,4.48,0.3,1.69
27.56,48.24,5.22,0.42,2.18
26.53,65.95,7.41,0.4,1.69
28.67,38.71,5.52,0.24,1.84
29.55,24.73,7.7,0.84,2.0
33.83,53.13,6.12,0.25,2.14
19.66,23.66,5.91,0.54,1.61
29.23,30.75,6.69,1.02,1.67
18.05,41.99,6.58,0.25,1.91
28.28,17.53,4.89,0.91,1.98
22.53,62.58,5.62,0.3,1.6
15.11,44.21,6.66,0.61,2.18
19.7,18.44,7.3,1.19,1.6
30.41,64.6,4.71,0.54,2.04
29.61,61.65,7.15,0.92,1.58
20.46,48.61,6.13,0.63,2.12
31.65,62.71,6.59,0.89,2.12
24.76,15.7,7.56,0.48,2.02
25.39,40.52,5.13,0.65,1.52
26.66,75.59,4.05,0.33,1.83
26.44,79.34,6.2,0.62,1.56
22.28,45.75,4.65,0.42,1.99
19.83,43.79,7.2,1.14,1.64
28.87,32.51,5.43,0.6,1.8
24.53,60.99,7.55,0.46,1.67
28.91,38.34,6.76,0.95,2.15
26.24,60.32,6.75,0.63,1.87
33.18,49.04,5.77,0.75,1.5
19.38,17.74,7.54,0.65,1.7
32.89,74.7,6.3,0.75,1.64
18.79,71.49,4.42,1.01,2.12
22.96,28.4,4.61,0.7,2.05
22.99,53.05,4.43,1.09,2.07
33.61,46.22,7.91,1.11,2.16
31.11,58.63,6.75,1.05,1.55
15.35,54.19,6.63,0.79,1.79
19.99,42.72,5.34,0.33,1.54
27.29,62.87,7.12,0.6,1.89
31.27,67.22,6.07,0.28,1.7
24.96,21.58,6.84,0.44,1.65
32.91,57.55,6.76,1.06,1.76
26.17,33.67,7.11,0.49,1.79
33.63,69.79,5.69,0.81,1.64
27.66,73.98,6.9,0.38,1.67
31.51,54.74,5.07,0.82,1.85
16.93,57.79,4.2,0.7,1.78
22.75,39.85,7.24,0.89,1.96
28.33,33.45,4.27,0.68,1.75
29.79,47.37,6.71,0.82,2.14
30.74,53.89,7.9,0.4,2.16
20.42,65.04,5.65,0.63,1.97
18.96,15.33,7.76,0.26,1.69
28.46,48.07,7.28,0.59,2.05
23.42,69.61,7.97,0.71,1.81
20.23,20.87,4.07,0.66,2.07
19.72,35.87,6.74,0.85,1.63
22.63,32.57,5.21,0.87,2.15
22.15,51.47,4.2,0.57,2.06
27.18,33.83,6.5,0.88,2.02
19.9,51.69,7.23,0.24,1.81
22.69,61.5,4.31,0.55,2.1
23.11,51.29,5.17,0.46,2.16
31.98,66.28,4.09,0.23,1.8
17.81,38.03,7.22,0.36,1.83
24.2,45.57,5.92,1.06,2.06
17.32,69.52,5.32,0.71,2.05
33.11,45.72,5.27,0.75,1.65
33.93,21.88,6.14,0.78,1.58
19.98,36.34,5.61,0.71,1.98
30.61,63.48,5.73,0.77,1.93
17.63,75.27,6.04,0.52,1.52
15.97,61.88,5.05,0.97,2.04
26.5,31.19,7.16,1.03,1.79
17.47,32.73,7.7,0.35,1.71
29.5,18.23,6.06,0.44,1.53
32.19,66.14,5.36,0.53,1.58
19.75,75.91,7.31,1.07,1.88
32.26,21.06,4.62,0.92,1.93
23.48,41.58,5.25,1.15,1.53
31.93,63.74,5.36,1.03,1.74
18.73,42.1,6.5,1.05,1.97
30.96,55.94,6.43,1.05,1.85
33.23,78.39,6.66,0.63,1.73
17.38,60.77,5.92,0.76,2.0
32.66,42.29,4.2,1.01,1.83
23.3,27.12,4.46,0.38,1.62
30.89,44.61,7.85,0.7,1.7
25.49,28.21,5.16,0.46,1.93
20.56,68.12,4.99,0.92,1.69
30.2,34.91,5.52,0.85,2.09
30.22,62.76,5.47,0.32,1.6
15.62,46.0,6.67,1.16,1.84
20.46,74.65,6.93,0.48,1.58
30.28,37.03,5.25,0.65,1.91
20.78,38.48,7.53,0.63,1.63
34.4,68.46,4.97,0.83,1.73
21.72,77.71,4.1,0.41,1.7
24.66,40.92,5.86,0.61,1.97
23.67,56.46,5.99,0.44,2.11
32.06,15.04,5.41,1.14,1.95
29.37,64.04,6.55,0.84,1.87
24.07,74.14,7.35,1.1,1.98
23.1,34.6,4.79,0.33,2.07
30.25,74.37,5.5,1.15,2.06
19.39,65.42,5.35,1.19,1.53
20.88,43.86,4.96,1.1,1.94
27.94,17.32,4.43,0.37,2.08
15.47,45.21,4.6,1.15,2.17
30.07,35.52,6.27,1.11,1.83
16.73,56.03,4.87,1.16,1.89
21.61,32.3,4.29,0.99,1.99
22.64,37.83,5.22,0.78,2.03
28.01,16.61,4.02,1.11,1.95
20.4,66.33,7.45,0.41,1.97
33.22,39.34,4.68,0.57,1.78
31.97,79.64,4.68,1.13,1.94
30.1,42.46,4.57,0.27,1.81
29.43,23.72,7.33,0.45,2.0
24.1,52.63,4.22,0.41,1.81
16.01,57.42,7.1,0.28,1.7
17.1,39.47,4.63,0.73,1.76
22.27,64.29,7.57,0.26,1.54
31.84,22.99,7.99,1.08,1.96
31.62,74.99,7.59,0.64,1.57
22.76,43.56,7.51,0.21,1.68
18.13,62.28,5.29,0.95,2.19
16.27,76.16,4.03,1.1,1.79
34.28,41.08,6.2,0.23,2.13
23.13,77.92,7.09,1.03,1.6
22.91,35.61,5.66,0.36,2.01
27.76,29.31,6.35,0.74,1.69
21.74,62.22,4.22,1.0,2.11
28.69,57.92,7.16,1.15,1.51
16.49,19.54,5.38,0.61,1.91
17.75,29.38,6.87,0.34,1.81
20.34,43.51,6.56,0.74,2.0
28.18,22.91,4.08,0.41,2.08
18.57,56.65,4.79,0.67,1.87
31.57,17.01,6.53,0.51,1.74
27.06,27.53,7.44,0.8,1.76
22.04,51.05,4.38,1.1,1.93
26.71,57.98,5.18,1.04,1.65
28.73,56.73,6.6,1.09,2.18
27.43,79.79,7.4,0.64,1.64
15.3,46.81,5.31,0.88,2.17
18.31,71.85,7.58,0.49,1.7
33.68,36.53,7.58,0.72,1.97
32.97,67.57,7.67,0.46,1.61
16.54,19.35,7.9,0.32,1.55
30.6,77.59,6.45,0.28,1.78
16.25,40.28,6.57,0.28,1.63
15.1,51.14,7.95,1.07,1.9
28.09,23.64,7.37,1.19,1.84
22.16,54.7,6.13,0.53,1.89
24.83,37.6,4.59,0.93,1.95
29.29,66.99,7.85,1.13,2.09
15.07,64.84,7.73,1.09,2.07
25.54,74.29,6.96,0.85,2.19
26.6,71.33,6.05,0.65,2.09
17.74,52.76,6.08,0.34,2.08
31.01,59.06,5.8,0.63,1.58
19.14,76.5,7.42,0.79,1.61
23.61,25.34,4.79,0.99,1.77
27.53,78.74,4.12,0.86,1.66
16.86,19.07,4.66,0.45,1.62
17.08,66.78,4.23,1.19,1.78
18.12,45.48,7.77,0.21,1.9
29.22,79.92,6.78,0.8,1.72
33.84,69.88,5.11,0.98,1.83
26.96,72.42,7.53,0.72,1.71
16.47,59.37,7.99,0.41,2.05
20.52,58.43,6.61,0.92,2.15
33.91,15.59,6.31,0.42,1.79
19.0,37.26,4.58,0.87,1.68
17.1,37.68,6.01,0.78,2.13
21.76,16.46,6.79,0.27,2.18
20.96,28.91,6.18,0.52,1.97
22.87,41.77,6.88,0.79,2.02
25.79,35.18,4.38,0.55,1.99
18.36,19.7,5.61,1.14,1.94
19.71,15.89,4.96,0.89,1.82
24.75,72.38,6.81,0.32,2.13
34.14,69.57,4.44,0.83,2.04
29.81,75.0,7.04,0.34,2.19
26.29,64.22,7.96,1.06,1.75
19.46,41.62,5.03,0.78,1.79
21.44,18.11,6.78,1.18,1.63
30.67,40.03,7.4,0.52,2.01
26.81,43.06,4.02,1.1,1.54
34.09,41.49,4.04,0.44,1.78
18.1,41.83,6.36,0.69,1.71
30.11,64.78,5.5,1.01,1.73
16.46,60.4,6.25,0.66,1.57
28.21,46.51,5.56,0.62,1.55
27.68,15.15,6.07,0.51,2.2
33.19,15.26,7.92,0.53,1.73
21.38,49.83,6.96,1.05,2.01
19.49,17.85,7.92,0.85,1.68
31.69,68.21,6.46,1.18,1.91
25.44,47.77,4.45,0.84,1.56
19.22,34.84,5.88,0.89,1.59
32.55,51.56,6.08,1.19,1.73
32.15,60.51,7.61,0.81,2.0
21.95,38.55,6.26,1.13,1.86
23.22,72.65,5.64,0.37,1.76
27.32,72.07,4.44,0.93,1.96
29.14,24.3,6.19,1.1,1.84
24.6,50.88,7.13,0.64,1.66
34.19,37.36,5.54,0.76,1.86
18.26,49.62,7.09,1.2,1.63
30.18,35.96,5.99,0.73,2.09
19.82,32.89,5.23,0.33,1.59
15.29,33.16,5.96,0.37,1.96
17.6,64.0,7.0,0.31,2.19
27.61,29.52,6.25,0.95,2.09
29.4,63.66,4.76,0.39,1.6
20.88,26.37,5.1,0.51,2.1
27.36,58.08,4.28,0.47,1.77
23.63,21.2,4.09,0.47,1.87
20.57,79.04,7.99,0.39,1.81
15.89,75.46,4.11,0.36,1.92
22.66,44.32,4.68,0.83,2.03
26.3,24.59,4.64,0.66,1.85
26.49,41.03,5.19,0.98,2.11
32.44,53.68,4.31,0.66,1.81
20.01,21.36,6.62,0.48,1.82
31.32,17.72,4.61,1.04,1.87
29.1,31.62,6.9,0.72,2.01
20.7,50.13,6.31,0.99,1.55
21.8,46.36,5.46,0.42,2.0
22.2,28.01,6.42,0.23,1.63
33.32,77.82,4.93,0.93,2.17
19.58,41.93,6.93,0.58,2.15
18.77,63.23,7.65,0.24,2.0
30.91,22.53,7.25,0.84,1.98
15.83,51.39,4.54,1.1,1.92
34.52,24.9,4.28,0.38,1.7
20.37,59.55,7.66,0.94,2.15
31.73,52.45,6.22,0.61,1.84
33.27,78.62,5.07,1.08,1.84
32.38,30.15,5.68,0.89,1.52
33.12,35.6,6.32,0.65,1.52
21.82,65.35,7.11,0.91,1.65
23.04,70.57,7.04,0.53,1.66
23.93,34.18,5.14,0.29,1.94
31.68,15.52,5.56,0.53,2.2
27.02,33.59,6.15,0.81,1.79
25.33,54.54,6.99,0.62,1.96
25.69,56.22,7.03,1.16,2.09
27.04,70.82,7.32,1.04,2.15
20.09,68.33,6.88,0.64,1.64
23.8,21.28,6.29,0.61,1.72
16.83,58.87,4.31,0.63,1.74
34.23,30.58,6.52,1.14,1.54
18.8,16.41,6.37,0.68,1.73
18.66,67.04,5.34,0.73,2.06
33.76,25.14,7.79,0.27,1.65
30.52,73.29,4.67,0.94,1.8
29.78,61.06,4.25,0.88,1.57
23.54,73.83,6.1,1.11,1.61
26.63,37.16,5.39,0.39,2.09
15.56,60.73,5.26,0.35,1.86
34.91,73.06,7.1,0.39,1.89
17.65,76.44,5.97,1.17,1.77
31.75,70.1,7.28,0.23,1.88
33.43,65.17,4.67,0.29,1.58
32.85,64.87,4.71,0.26,1.72
33.86,77.06,5.89,1.19,2.15
29.06,49.56,5.77,1.07,1.91
29.01,17.39,6.64,0.84,1.73
20.13,29.77,7.52,0.98,2.01
30.84,54.52,6.59,0.29,1.71
34.58,46.27,6.66,0.81,1.57
29.46,78.66,4.88,0.47,1.86
31.34,62.45,4.63,0.7,1.69
17.54,34.46,7.63,1.03,1.84
19.05,34.36,6.85,1.02,1.52
23.8,61.42,5.16,0.94,1.51
25.85,68.66,4.41,0.71,1.5
24.78,29.63,6.8,0.73,2.19
16.65,48.37,7.13,0.26,2.0
28.3,38.74,6.18,0.86,2.08
21.07,18.77,6.34,0.38,1.77
29.85,26.61,7.54,0.29,1.96
24.15,68.52,5.86,0.43,1.51
24.8,34.72,4.39,0.58,2.11
31.13,22.62,6.11,0.62,1.59
33.15,71.72,7.66,0.5,1.96
25.9,75.88,5.94,1.17,2.14
15.51,30.26,4.91,1.03,1.82
28.62,44.47,4.53,0.88,2.1
27.14,65.2,6.32,0.34,1.89
18.38,35.29,4.9,1.12,2.0
22.01,71.63,5.63,0.42,2.04
18.18,55.18,6.81,0.46,1.83
15.91,34.09,5.84,0.85,2.05
15.55,36.84,7.06,0.53,1.75
32.06,73.94,5.48,1.1,1.6
33.58,37.45,4.91,1.03,1.64
15.19,78.53,7.68,0.54,2.07
21.19,66.64,6.74,0.76,2.19
31.53,49.86,5.76,0.39,1.67
22.23,21.65,5.62,0.72,2.09
34.48,49.65,5.51,0.83,1.6
17.41,72.56,4.05,0.32,2.07
21.1,47.49,7.35,0.34,1.88
21.02,76.6,4.72,0.93,1.64
33.35,71.16,5.5,0.69,2.14
28.02,36.11,4.64,0.35,1.75
18.33,73.71,7.49,0.35,1.75
32.31,38.95,7.63,0.79,1.54
21.16,79.84,5.83,0.58,1.57
34.74,24.13,7.97,1.04,1.77
18.29,47.84,7.74,0.79,1.79
20.97,26.13,6.18,0.94,1.53
15.27,71.17,7.5,0.72,1.73
33.3,24.37,6.5,1.1,1.53
28.82,41.38,5.67,1.09,2.03
27.59,76.28,7.57,0.97,1.8
25.29,78.9,4.77,0.56,1.86
26.88,23.1,5.09,0.82,2.06
26.8,71.98,4.84,0.22,1.59
29.71,67.94,6.04,0.59,1.66
29.2,18.26,6.41,1.15,1.87
21.43,43.69,4.41,0.72,1.68
20.21,47.97,6.56,0.66,1.72
18.98,75.07,5.28,0.22,1.77
22.48,55.6,6.47,0.94,1.81
33.42,44.98,6.87,0.84,1.62
28.35,60.45,4.1,0.57,1.73
27.48,26.94,4.14,0.39,1.72
26.19,37.05,4.4,0.85,1.55
23.65,18.52,5.14,0.55,1.88
30.03,19.47,7.57,0.77,1.76
20.36,70.58,4.65,0.92,1.74
26.09,42.64,7.16,0.5,1.88
33.04,67.87,4.21,0.95,1.59
28.5,38.1,5.74,0.99,2.14
18.85,22.79,6.46,0.44,1.66
20.6,19.68,4.39,1.01,1.55
24.33,55.15,4.9,0.87,1.74
17.51,18.63,7.62,1.18,1.94
20.86,30.5,7.25,0.86,2.02
28.77,55.43,7.27,0.34,1.82
34.07,51.78,5.79,1.02,1.76
15.82,36.73,7.95,0.22,1.56
17.94,23.35,6.9,1.08,2.18
28.95,15.08,5.74,0.92,1.65
18.62,62.51,7.79,0.72,2.07
24.52,23.78,4.85,0.9,2.18
16.61,76.36,5.63,1.17,1.96
28.47,40.81,7.07,0.87,1.61
28.65,22.72,6.91,0.28,2.15
34.93,63.89,4.2,0.3,1.53
30.99,28.35,6.4,0.43,1.52
