Lch,Wch,Tch,Tox1,Tox2
30.11,52.92,7.84,0.83,1.83
15.41,72.75,6.67,0.73,2.19
15.34,55.66,7.65,0.66,2.08
32.64,55.45,6.39,0.52,2.09
33.1,58.55,5.33,0.71,2.01
28.39,16.7,6.45,0.25,1.61
26.09,73.42,7.66,0.76,1.62
31.66,17.31,6.66,0.85,2.05
16.07,77.0,6.16,0.87,1.83
28.09,73.53,7.5,1.12,1.73
25.05,73.99,5.01,0.53,2.02
17.29,65.8,5.62,0.72,1.96
26.96,40.04,6.16,0.49,1.95
19.65,39.29,6.4,0.32,1.99
33.54,70.64,5.24,0.55,1.98
30.95,31.0,5.0,0.4,1.7
30.29,67.45,4.7,0.99,2.11
30.38,17.99,4.07,0.34,2.13
23.46,52.55,4.68,0.84,1.51
21.23,39.84,6.86,0.92,2.0
17.22,33.84,5.06,0.87,2.19
34.86,61.21,4.83,0.2,2.08
23.78,35.96,6.97,0.5,2.18
33.42,29.95,5.64,0.7,2.05
15.37,18.13,6.4,0.69,2.04
22.07,42.06,7.94,1.01,2.08
20.68,15.03,4.59,0.43,1.76
19.0,64.34,7.82,0.88,2.06
17.43,63.58,5.14,0.9,2.07
34.62,47.64,7.31,1.05,1.7
22.1,78.03,5.86,1.12,1.92
15.45,28.03,5.43,0.7,2.15
32.3,45.47,6.68,0.99,1.85
33.66,58.81,5.27,1.0,1.61
20.02,30.39,7.6,1.09,1.86
21.82,70.22,7.05,0.52,1.51
34.89,53.04,5.35,0.49,1.56
22.02,60.32,5.54,0.22,2.07
28.12,59.89,4.13,0.7,1.64
31.57,24.84,6.43,0.79,2.17
33.15,56.23,7.43,0.3,1.99
22.43,16.93,4.09,1.02,1.7
27.59,54.94,4.38,0.58,2.12
25.69,69.09,7.03,0.88,2.03
15.72,42.14,4.58,1.02,2.03
33.35,43.37,4.53,1.16,1.82
26.03,25.74,7.76,0.62,2.02
27.37,26.27,4.52,1.07,1.61
20.85,37.27,6.79,1.13,1.52
17.9,20.84,4.88,0.33,2.08
19.23,26.67,4.79,0.75,1.79
28.9,66.13,6.97,0.92,2.09
21.56,28.22,8.0,0.49,1.76
17.21,38.32,6.31,0.82,1.53
21.74,68.81,4.47,1.16,2.16
19.48,45.68,6.12,0.87,1.82
25.15,76.7,7.91,1.11,2.19
23.24,27.93,7.52,0.47,1.86
21.15,22.12,4.56,0.25,1.73
16.0,41.08,5.09,0.63,2.13
23.08,48.24,6.09,0.68,1.65
32.41,61.62,5.27,0.64,1.73
30.44,54.58,6.01,1.01,1.69
17.17,33.41,4.13,0.64,2.04
20.08,71.92,4.33,0.35,2.08
24.29,35.06,4.86,0.65,1.95
30.03,45.88,6.71,0.23,2.0
21.63,34.25,5.21,0.93,1.62
23.44,26.49,6.57,0.5,1.78
31.6,46.36,7.99,0.47,1.98
33.73,39.37,5.07,0.59,1.95
25.88,60.22,4.51,1.1,1.98
33.22,66.27,5.51,0.67,2.19
29.21,20.92,4.33,0.29,1.81
18.67,42.24,6.65,0.44,1.93
18.47,52.4,6.18,0.66,1.72
34.81,74.26,6.58,0.66,2.17
26.97,50.59,6.46,0.31,2.02
30.79,77.57,5.19,0.54,1.69
31.21,37.83,4.83,0.9,1.9
17.76,59.55,4.04,0.78,2.14
27.85,56.01,6.8,0.44,1.93
24.51,25.89,7.68,1.14,1.86
34.57,44.85,6.13,0.8,2.2
34.33,60.82,7.87,1.02,1.81
29.19,55.86,5.87,0.84,1.56
22.52,53.93,6.67,0.28,1.84
27.96,56.47,6.41,1.03,2.18
19.85,48.49,4.05,0.78,1.52
25.71,49.59,5.67,0.99,2.14
24.39,43.89,4.19,0.83,1.99
24.1,53.43,4.06,0.58,1.67
25.55,45.03,7.18,1.12,2.11
18.65,76.77,7.24,0.4,1.81
31.77,51.25,6.78,1.12,2.14
28.34,78.07,4.57,0.34,1.63
17.88,33.2,7.11,1.06,1.77
32.88,58.27,6.54,0.45,1.64
18.38,46.49,6.89,0.49,1.9
27.12,32.68,4.93,0.39,1.7
34.51,52.65,5.6,1.1,2.14
27.82,75.91,4.8,0.56,2.13
18.92,79.02,4.53,0.22,1.98
28.54,20.48,6.29,0.75,1.91
15.4,70.18,7.98,1.0,2.11
28.61,24.1,4.69,0.67,1.65
24.75,73.74,6.44,0.95,2.1
23.57,26.94,7.57,0.36,1.66
20.01,44.77,4.22,0.55,1.81
33.86,41.74,5.27,0.28,1.94
29.56,28.4,7.77,0.5,1.59
31.65,50.26,7.26,0.82,2.01
27.45,44.64,5.88,0.85,1.69
29.17,60.71,7.12,1.07,2.01
20.77,15.54,5.98,0.94,1.66
16.4,19.19,6.65,0.9,2.13
19.06,38.43,7.52,0.84,1.9
15.69,54.3,6.6,0.42,1.86
22.58,41.8,5.04,1.17,1.89
31.12,75.03,5.37,0.28,1.76
25.12,49.3,7.51,0.87,2.13
17.45,75.89,6.82,1.1,1.74
23.87,70.3,6.36,1.13,1.91
27.89,63.2,4.71,1.17,1.7
24.01,53.64,5.42,0.76,1.99
33.66,79.54,5.31,0.8,1.96
30.16,78.64,6.16,0.64,1.57
24.94,56.86,6.32,0.59,1.64
29.24,43.62,5.37,1.19,2.05
28.88,76.88,7.01,0.38,2.15
28.2,49.24,6.1,0.44,1.63
25.93,31.58,5.59,0.37,1.61
23.99,34.42,4.65,0.92,2.07
31.33,67.09,5.6,1.19,1.88
24.91,50.36,7.97,0.72,1.84
28.63,64.75,6.5,0.7,1.6
24.07,41.45,4.43,0.23,1.73
28.67,58.91,5.95,0.98,1.74
16.42,40.26,7.44,0.26,2.2
34.63,66.82,7.49,0.54,1.6
21.62,29.7,5.78,1.2,1.73
15.34,19.73,6.28,0.75,1.72
27.75,52.09,5.24,0.88,1.68
26.71,42.85,6.42,1.1,1.54
17.15,52.48,5.18,0.63,1.63
20.75,70.61,4.22,0.71,2.05
22.78,46.31,6.06,0.66,1.87
30.91,47.35,6.08,0.5,2.19
30.21,63.82,4.95,0.55,1.55
22.02,64.57,6.75,0.4,1.54
31.12,61.76,6.99,0.84,1.98
25.01,43.21,5.15,0.71,1.95
23.84,23.93,6.96,0.91,1.95
20.54,41.05,5.07,0.81,1.6
26.16,15.11,7.53,1.02,2.13
30.64,17.25,4.74,1.0,1.54
29.67,26.82,6.11,0.58,1.78
18.11,27.71,6.71,0.32,1.74
34.49,32.25,5.63,0.27,1.91
16.85,74.69,5.06,0.9,1.99
27.0,26.09,6.56,0.68,1.85
26.31,68.43,4.09,0.99,1.88
22.06,31.52,7.75,0.44,1.9
25.24,47.49,7.24,0.32,2.07
19.09,61.12,5.53,1.01,2.14
15.53,20.38,6.03,0.37,2.16
17.71,33.47,4.97,0.69,1.71
29.06,30.27,5.0,0.47,1.96
24.32,49.57,4.25,0.56,1.62
26.77,31.86,7.24,0.44,2.04
20.45,35.81,5.57,1.15,1.69
21.11,78.81,7.47,0.8,2.01
32.42,55.02,4.08,1.0,1.57
21.7,29.21,7.29,1.0,1.54
32.24,15.17,4.89,0.46,2.12
24.45,68.74,4.84,0.61,1.59
24.54,37.07,7.05,0.84,1.67
19.03,63.11,7.53,0.72,2.1
19.84,22.71,5.99,0.93,1.84
26.68,41.14,6.24,1.06,1.79
18.02,54.42,5.84,0.92,1.65
20.31,67.01,6.02,1.19,1.55
17.69,62.14,6.74,0.81,1.52
22.45,30.12,5.65,0.28,1.91
26.05,32.18,7.59,0.48,1.54
31.58,24.22,4.52,0.26,2.0
16.78,58.97,5.68,0.27,1.63
29.64,41.51,6.2,0.39,2.13
16.75,63.55,7.47,0.88,1.6
33.11,60.45,4.81,0.56,2.2
25.65,48.28,7.39,1.09,1.93
25.87,79.74,6.47,1.06,1.53
26.87,53.15,5.93,0.24,1.91
31.42,66.62,4.9,1.07,1.88
32.9,59.04,7.56,1.18,1.62
19.05,78.95,6.67,0.57,1.53
29.9,27.95,7.6,0.54,2.02
27.23,66.06,5.87,0.24,1.82
23.91,22.51,7.78,0.82,1.8
20.23,63.23,5.56,1.05,1.93
16.68,32.83,5.41,0.46,2.16
25.99,72.11,5.86,0.46,2.11
30.35,77.4,7.33,0.84,2.11
25.96,75.27,4.7,0.32,1.56
33.0,74.9,6.48,0.67,1.98
29.87,41.31,5.49,0.28,1.72
28.81,22.33,7.97,0.21,1.57
16.35,65.47,7.02,1.15,1.51
31.04,22.58,6.69,0.7,1.94
22.27,41.71,7.38,0.73,1.89
17.91,30.96,7.25,0.31,1.67
19.68,49.07,7.1,0.69,1.95
26.49,53.97,7.09,0.69,1.7
24.81,52.22,7.74,1.08,2.08
31.23,43.79,7.8,0.99,1.76
20.13,36.74,4.38,0.76,1.97
19.2,18.68,7.58,0.96,2.01
21.44,27.06,7.46,1.16,1.83
21.34,72.36,5.61,1.15,1.54
17.66,46.71,5.42,1.17,2.14
29.02,40.12,6.2,0.44,2.05
29.5,55.05,6.35,1.08,1.98
30.57,19.08,6.1,0.29,2.02
34.03,39.05,5.81,0.98,1.53
15.64,72.19,6.06,0.81,1.77
34.72,79.57,5.28,0.72,1.87
24.21,66.73,6.94,0.43,1.96
15.31,72.25,6.54,0.35,1.72
15.05,60.9,7.01,0.73,1.82
23.26,55.56,7.21,0.55,1.71
28.06,33.07,5.79,1.09,2.09
22.69,70.35,5.43,0.53,1.76
15.51,44.59,6.53,0.83,2.0
19.38,16.59,4.37,0.33,2.03
28.97,33.67,5.94,0.38,2.15
33.64,45.0,6.99,0.26,1.92
27.62,47.17,5.29,0.41,1.76
16.52,44.53,4.66,0.22,1.82
31.46,72.42,5.72,0.33,1.91
20.42,63.43,7.57,0.48,1.7
30.88,51.77,5.44,0.88,2.0
32.0,24.91,5.3,1.03,1.5
26.92,59.82,7.17,1.15,2.04
30.23,24.46,4.66,1.12,1.78
25.19,24.68,5.4,0.78,2.01
28.9,57.47,7.65,1.0,1.84
25.14,55.24,4.17,0.51,2.16
25.21,61.68,5.36,0.98,1.71
25.08,40.45,6.92,0.53,1.82
28.04,53.2,4.3,0.33,1.77
15.89,16.76,4.58,0.54,1.81
29.24,66.39,7.93,0.55,1.55
17.82,53.77,6.04,0.67,1.89
20.66,54.6,4.0,0.53,1.92
16.23,36.32,4.16,0.97,2.09
22.49,61.26,4.59,1.05,1.71
28.31,43.82,4.82,0.97,1.61
26.93,19.0,5.23,0.68,1.69
23.39,71.87,4.42,0.36,2.08
23.46,40.21,7.4,1.1,1.86
27.05,20.23,7.72,0.69,2.09
32.54,30.2,5.02,0.83,1.89
18.54,29.49,6.37,0.66,1.95
28.6,32.16,6.65,0.31,1.63
25.37,38.89,6.62,0.46,2.01
33.79,78.83,6.46,0.65,2.11
19.0,55.39,7.83,1.01,1.67
24.13,68.28,6.5,0.91,1.66
33.77,26.52,4.2,0.35,2.04
18.07,21.97,4.27,1.06,2.18
17.84,50.78,5.79,0.91,1.5
17.25,75.13,4.03,0.62,1.68
33.04,51.06,6.87,0.46,2.19
30.44,40.96,5.69,0.57,1.73
15.62,24.14,5.18,0.42,2.1
18.28,34.81,4.92,0.89,1.93
34.35,23.28,6.44,1.04,2.19
23.34,62.9,6.63,0.2,1.71
19.14,70.96,4.39,0.8,1.88
32.97,18.44,4.16,1.06,1.76
29.96,48.95,7.93,0.22,1.63
31.42,61.9,6.78,0.57,1.77
18.18,76.4,5.74,1.12,2.11
26.01,72.92,5.39,0.62,1.74
16.74,77.74,4.06,1.11,2.08
17.78,44.51,5.39,1.08,1.99
15.48,68.95,4.44,0.76,1.54
31.29,57.11,5.83,0.47,1.57
23.02,25.45,4.48,0.88,1.75
24.61,38.98,4.12,0.43,1.83
34.29,72.29,5.78,0.68,1.64
23.48,67.33,5.49,0.31,2.1
15.19,51.64,6.5,0.63,1.92
17.79,28.07,6.85,1.2,1.6
33.9,30.57,6.38,0.65,1.53
25.73,37.93,4.75,0.86,2.03
33.39,15.6,4.8,0.97,1.93
17.96,46.14,5.07,1.11,1.94
21.03,75.32,7.73,0.52,1.68
24.43,79.03,5.71,0.63,1.98
20.19,25.6,4.61,0.62,1.8
31.86,59.12,5.44,0.24,1.71
25.85,73.77,7.34,0.48,2.03
30.84,19.44,6.87,0.82,2.18
26.64,50.99,5.64,0.24,2.17
25.44,74.98,5.4,0.55,1.69
18.76,28.17,5.71,0.79,2.18
27.25,41.35,7.17,0.59,1.86
23.65,57.39,4.74,0.53,2.16
33.18,23.69,5.25,0.4,1.95
30.28,22.94,6.89,0.36,1.89
19.82,28.39,6.3,0.73,1.85
29.42,62.6,7.22,1.18,1.88
26.16,66.2,4.62,0.3,1.76
25.79,62.05,7.85,0.49,1.8
16.51,42.41,7.62,0.61,2.11
20.88,65.12,6.96,1.0,1.74
34.75,34.0,7.66,0.86,2.1
21.29,42.81,5.75,0.98,1.51
19.99,43.14,7.43,0.86,1.95
28.18,19.14,5.3,1.18,1.56
21.57,49.17,7.87,1.0,2.04
23.64,38.5,5.63,0.28,2.16
22.21,22.27,4.77,0.29,1.69
28.36,50.51,5.22,0.31,1.76
18.34,61.34,4.91,0.3,1.75
22.4,79.81,7.14,0.6,2.16
33.83,53.35,6.61,0.89,1.79
33.33,47.27,6.38,0.81,1.76
33.58,32.04,6.71,1.16,1.84
20.57,74.86,5.6,1.04,1.64
23.55,32.65,7.19,0.37,1.52
27.18,58.4,4.53,0.51,1.74
31.0,15.77,6.19,0.6,1.78
27.49,64.95,6.81,0.86,1.63
24.99,74.38,5.01,0.58,1.62
21.06,43.49,6.91,0.51,1.93
26.27,48.66,4.56,0.59,1.87
21.01,39.94,4.21,0.69,1.7
21.26,67.78,5.72,0.52,1.84
21.97,26.12,4.32,0.34,2.03
22.77,65.23,5.23,0.65,1.78
24.78,21.31,7.18,1.01,1.73
18.75,38.83,6.82,0.33,1.66
19.55,48.2,6.76,0.45,1.91
19.31,16.32,4.6,0.68,1.57
17.57,63.76,5.66,1.17,1.56
16.15,27.37,7.82,0.3,1.56
17.31,62.41,4.66,0.77,2.16
20.95,15.91,7.0,0.54,2.02
21.0,54.02,6.83,0.43,1.74
23.9,55.36,7.87,0.72,1.72
32.5,32.61,4.29,0.67,2.16
25.28,31.23,7.2,1.15,1.8
20.83,58.0,5.85,0.41,2.0
17.07,31.93,7.34,0.54,1.99
25.17,32.92,5.76,0.92,1.97
34.08,65.87,4.15,0.76,2.19
32.54,71.54,6.4,1.14,1.65
28.17,52.35,6.06,0.65,1.6
15.92,42.45,4.85,1.04,1.9
21.99,59.3,5.68,1.03,1.73
29.16,16.67,6.12,1.16,2.05
30.39,37.34,7.44,0.54,1.61
22.11,18.61,4.11,0.9,1.55
34.66,35.33,5.17,0.62,2.06
18.43,28.89,5.85,0.91,1.96
20.94,18.86,6.11,0.42,1.88
34.25,29.0,6.74,0.5,2.11
29.39,40.54,6.27,0.31,2.05
22.81,24.75,6.58,0.85,2.1
16.9,61.99,5.93,0.58,2.02
34.37,37.7,4.2,0.84,1.6
29.58,45.84,5.97,1.16,1.84
34.43,54.89,6.55,1.09,1.9
16.57,45.6,5.92,0.26,2.0
23.52,34.37,7.4,0.28,1.93
20.06,17.87,7.76,0.73,2.06
26.2,64.85,4.34,1.11,2.11
23.96,31.26,5.88,1.1,1.91
18.18,59.4,5.13,1.13,2.08
19.72,63.88,4.82,0.85,1.81
28.52,47.41,6.41,0.73,2.14
29.55,59.73,6.17,0.91,2.1
19.39,64.1,5.11,0.76,1.88
26.6,27.85,7.34,0.94,1.78
31.78,47.62,5.17,0.85,2.03
17.09,79.38,6.77,1.01,1.71
27.69,55.11,6.94,0.82,1.89
33.72,72.88,5.29,0.52,1.97
31.72,74.63,7.81,0.39,1.59
29.35,56.71,5.52,0.55,1.95
34.15,26.2,6.27,0.78,1.58
17.51,36.83,4.04,0.99,1.87
24.84,36.55,6.47,0.44,1.96
16.69,42.93,5.08,1.09,1.92
31.71,76.21,4.93,1.18,1.79
31.62,51.92,5.73,0.34,1.84
31.17,25.23,4.76,0.63,2.0
21.38,48.09,4.27,0.94,1.64
26.3,15.49,4.24,1.14,1.7
22.96,40.62,4.42,0.41,1.61
23.06,62.83,5.91,1.05,1.64
24.9,71.74,7.64,0.56,1.58
22.76,28.59,4.01,1.01,1.71
32.06,18.71,5.29,0.4,2.02
28.0,56.59,6.29,1.03,1.6
29.3,51.57,7.53,0.54,2.14
31.37,17.12,4.96,0.36,2.07
29.9,58.1,7.26,0.48,1.66
21.95,25.39,7.41,0.37,1.99
18.71,74.21,4.78,1.14,1.98
23.94,77.03,7.3,0.74,2.17
34.45,62.25,5.59,0.77,1.93
27.8,76.44,6.59,0.47,1.87
30.9,25.28,5.02,0.83,1.9
24.36,16.4,4.04,0.51,1.68
24.41,26.99,7.4,1.16,1.81
32.38,77.93,6.26,0.95,2.01
32.34,42.69,5.09,1.01,2.1
18.27,25.14,6.42,0.75,1.58
34.13,52.14,6.39,0.64,1.9
24.64,16.5,7.55,0.96,1.94
25.83,68.2,5.97,0.25,2.05
31.47,78.44,4.93,1.08,1.58
17.72,73.63,5.71,0.41,2.09
21.9,37.14,5.7,0.45,1.65
27.57,44.23,4.99,1.2,1.96
21.6,16.83,7.19,1.18,2.16
24.59,22.66,4.12,0.57,1.66
26.08,73.08,5.41,1.14,1.57
18.69,36.25,4.4,1.19,1.79
15.57,30.76,4.5,0.56,1.88
33.46,29.59,5.73,0.98,2.16
28.99,32.94,7.06,0.83,1.66
20.12,23.81,7.13,0.27,1.77
32.14,56.97,4.96,0.8,1.66
34.42,18.57,5.62,0.79,1.8
20.64,23.06,5.09,0.47,2.15
15.15,33.93,4.37,0.21,1.78
17.39,34.57,6.28,0.83,1.74
30.09,47.06,4.14,0.49,1.82
17.55,29.29,5.94,1.14,1.85
20.59,55.69,4.18,0.27,2.16
16.71,49.34,5.69,0.86,1.53
15.96,27.51,6.9,0.87,1.83
22.25,79.64,6.72,1.17,1.57
34.2,52.62,5.87,0.88,2.14
28.86,38.19,7.23,0.37,1.99
34.79,36.6,5.78,0.44,1.78
18.88,49.67,4.9,1.17,2.12
28.93,77.6,4.17,0.61,1.85
23.19,57.8,6.55,1.1,2.0
15.91,35.39,7.75,0.37,1.79
16.45,71.79,6.62,1.01,1.73
33.03,27.33,5.48,0.62,2.15
33.92,16.0,4.22,0.34,1.65
24.09,16.49,7.79,1.04,1.62
18.13,65.31,6.0,0.6,1.64
33.21,58.47,4.54,0.56,2.06
15.13,18.3,6.15,1.06,1.51
28.22,72.0,5.22,0.25,1.67
30.33,58.33,6.25,0.3,1.69
28.75,23.36,6.9,0.29,1.61
29.86,69.65,4.85,0.33,2.17
15.77,21.63,7.78,0.73,1.58
23.7,25.49,5.23,0.88,1.52
27.29,46.53,4.94,0.83,1.75
27.01,69.77,6.85,0.51,2.13
18.61,72.01,6.99,0.97,1.52
26.53,77.82,4.48,1.04,2.09
32.22,75.68,6.14,0.75,1.8
23.37,74.28,4.73,0.61,1.7
30.13,53.81,7.55,1.05,2.07
27.07,20.14,6.46,0.36,1.6
16.02,45.4,7.28,0.84,2.04
19.12,63.63,4.95,0.55,2.03
23.69,43.34,5.1,0.78,1.9
25.45,30.43,7.54,0.84,1.76
32.66,43.45,7.74,0.77,1.63
22.84,37.8,7.73,0.41,1.81
22.36,20.69,5.31,1.04,1.87
32.58,19.62,5.51,0.97,1.5
34.78,77.29,6.04,0.7,1.65
29.97,29.12,5.46,0.95,1.72
34.19,33.14,6.54,0.21,1.59
27.02,65.76,4.62,0.71,1.8
26.65,39.5,7.32,0.66,2.04
28.46,25.97,7.29,1.06,2.04
24.74,69.87,5.52,0.71,2.11
29.79,39.01,7.47,0.58,1.75
32.11,70.85,7.83,0.38,1.69
27.11,17.99,6.24,1.06,2.13
33.85,56.32,4.07,0.25,1.66
22.47,69.99,7.57,0.46,1.52
23.01,23.14,5.91,1.12,2.13
24.8,22.82,7.46,0.25,1.61
18.57,30.33,6.68,0.29,1.55
29.45,19.23,6.69,0.94,2.04
23.15,52.78,4.06,0.9,2.14
31.81,35.21,7.84,0.29,1.74
15.83,23.73,6.33,1.17,2.19
16.63,16.96,5.13,0.72,1.98
20.8,34.74,7.91,0.77,1.73
16.12,77.92,7.95,0.97,2.09
15.85,36.7,6.26,0.74,1.74
21.37,36.11,4.84,0.43,1.54
29.62,23.54,5.47,0.25,1.87
23.72,59.49,6.64,0.23,2.06
27.96,25.59,7.36,0.33,1.86
23.6,48.87,7.49,0.67,2.14
18.84,47.5,7.18,0.82,1.71
29.13,64.18,7.03,0.42,1.63
28.69,36.02,4.98,0.29,1.72
16.65,40.76,7.97,0.91,2.03
32.09,21.9,7.96,1.02,1.54
30.69,76.62,4.5,1.13,1.77
21.52,27.48,4.29,0.94,1.85
32.99,40.7,6.89,0.86,1.59
23.31,64.63,4.31,0.49,2.12
15.0,70.1,4.79,0.43,1.99
20.38,65.27,4.3,0.69,1.94
16.27,78.21,6.92,0.21,1.87
19.63,79.34,5.96,0.7,1.81
27.51,18.08,5.11,1.03,2.09
26.22,24.38,4.07,1.11,1.64
25.58,63.04,4.31,0.98,1.55
32.81,77.22,4.25,0.49,1.92
18.45,36.99,6.84,0.59,1.68
32.73,50.13,7.23,0.41,2.09
27.76,56.1,7.89,0.8,1.63
15.67,42.61,6.72,0.21,2.09
33.6,26.89,4.55,0.33,1.63
29.47,31.49,4.72,1.09,1.87
20.9,15.4,6.01,0.89,1.8
20.79,60.24,6.07,0.8,2.13
30.53,20.99,7.69,1.2,1.77
32.01,41.58,6.87,1.17,1.8
25.5,35.72,6.79,0.21,1.65
29.65,29.92,6.53,0.85,1.87
29.53,29.31,6.09,0.55,2.13
21.84,28.91,5.34,0.42,1.62
32.17,15.78,7.45,0.34,1.66
20.21,19.94,7.11,1.12,1.57
15.75,23.03,8.0,0.56,2.15
24.26,43.25,5.99,0.47,1.7
19.7,19.53,6.31,0.62,2.05
29.08,24.72,6.75,1.08,1.87
19.9,63.72,4.64,0.66,2.17
16.26,75.64,7.36,0.21,1.74
24.69,27.74,7.68,0.67,1.55
19.61,66.75,4.46,0.93,1.51
34.56,57.56,7.66,0.81,1.91
26.61,70.55,5.19,1.15,2.02
26.44,66.57,6.88,0.58,1.6
18.01,34.13,6.22,0.79,1.54
15.54,45.22,6.95,0.6,1.57
15.26,15.33,7.59,0.31,1.77
15.81,56.75,6.21,0.66,1.66
32.02,52.73,4.61,0.65,2.12
21.75,67.48,5.34,1.19,1.72
24.17,36.85,4.44,1.07,1.84
34.54,63.41,6.13,0.92,1.88
30.97,37.38,7.61,1.18,2.19
27.47,38.61,7.21,0.9,1.95
20.5,75.97,4.32,0.23,1.51
23.83,77.47,5.74,0.77,1.97
25.42,61.53,4.24,1.13,1.68
34.96,60.12,4.86,0.91,2.18
31.94,45.8,6.33,0.61,1.9
29.73,55.54,7.27,0.45,1.86
21.78,73.93,7.7,0.36,2.17
17.36,43.56,7.36,0.41,2.01
17.62,72.61,7.5,0.4,1.95
15.42,71.19,5.2,0.22,1.52
19.22,46.63,7.69,0.89,1.73
32.28,61.06,4.35,0.96,1.62
20.62,22.76,4.7,0.26,2.0
27.33,45.32,6.35,0.68,1.64
