Lch,Wch,Tox1,Tox2
30.58,73.83,0.74,2.05
40.15,99.51,0.26,2.69
23.34,53.0,1.28,1.24
37.54,25.53,1.19,1.87
8.79,30.24,0.58,2.49
17.03,75.23,1.29,2.05
34.29,26.27,1.29,2.01
11.49,29.24,0.78,2.72
11.07,30.45,0.25,1.62
43.06,44.72,0.37,1.73
23.18,57.73,1.09,2.06
10.34,86.11,0.44,1.63
42.82,47.99,1.29,2.85
23.61,26.53,0.75,1.87
17.74,16.44,1.19,2.62
24.1,99.33,1.32,2.98
43.08,21.39,0.23,1.7
11.24,71.89,0.73,2.59
16.11,36.97,0.89,2.67
34.38,50.41,1.3,1.78
41.84,76.89,0.91,1.79
30.47,19.43,0.54,2.41
10.56,74.22,0.59,1.52
18.17,58.71,0.39,2.24
20.01,14.32,0.91,1.57
19.76,31.69,1.32,1.6
37.35,59.53,1.37,2.36
10.58,20.05,1.44,2.79
27.82,13.29,0.38,1.73
23.11,50.94,1.39,1.69
12.28,12.08,0.94,2.12
13.76,53.63,1.47,1.62
10.42,93.66,0.51,2.74
21.17,55.84,0.99,2.3
25.37,21.6,0.48,2.36
26.51,50.02,1.12,2.63
39.49,56.04,1.37,2.18
31.64,92.85,0.26,2.67
23.92,68.01,0.71,1.5
23.29,49.77,0.91,2.94
30.39,37.12,1.06,2.4
44.48,87.14,0.41,2.15
17.25,20.21,0.73,2.28
37.91,57.08,0.5,1.33
18.6,57.68,0.67,2.85
31.99,51.22,1.21,1.71
20.76,81.63,0.94,2.9
14.08,31.18,0.66,2.78
13.09,99.03,0.85,2.81
9.55,66.39,0.44,1.53
9.43,80.44,0.25,2.16
18.02,80.71,0.82,1.92
12.68,23.32,0.62,2.31
39.04,88.1,1.46,1.32
13.07,37.72,1.03,1.53
33.97,32.6,1.17,2.78
19.54,43.98,1.42,2.52
9.76,32.05,1.0,2.76
10.52,59.61,0.4,2.55
20.52,73.22,0.47,2.32
14.45,66.03,0.33,1.29
38.74,40.93,1.25,2.51
26.87,24.0,0.67,2.91
41.05,85.55,1.46,2.47
31.49,36.42,1.11,1.3
24.87,43.23,0.52,1.94
29.79,94.96,0.29,2.27
35.99,71.53,1.17,1.75
44.54,88.7,1.19,1.44
30.29,86.97,1.35,2.34
28.14,77.34,0.79,2.3
13.49,45.07,0.53,2.17
28.74,87.63,1.25,1.59
37.99,28.06,1.38,1.96
29.72,43.15,1.36,2.6
25.85,42.99,1.27,1.88
14.93,71.76,1.07,1.4
28.1,37.61,0.65,1.39
38.6,40.79,0.95,2.38
8.66,70.85,0.43,1.51
33.93,15.02,1.41,2.63
30.65,49.17,1.28,1.44
38.36,13.75,1.02,1.88
31.05,10.08,0.75,1.76
8.97,11.01,0.67,2.14
29.17,39.98,1.22,1.26
20.75,41.95,0.51,1.71
30.11,84.74,0.55,2.89
33.8,14.08,0.28,2.3
31.37,76.17,0.83,1.63
24.04,77.96,0.61,2.78
24.67,27.28,1.44,1.84
19.09,96.99,0.58,2.33
25.16,54.55,0.33,1.69
26.48,13.2,1.47,1.48
42.73,88.14,0.9,1.75
41.4,21.33,0.4,2.98
9.01,92.96,0.63,1.78
32.18,81.66,0.95,1.49
32.28,30.26,0.25,1.46
31.68,83.15,1.36,2.2
34.32,83.19,1.43,2.5
20.26,47.39,0.29,2.44
7.8,52.61,0.62,1.73
20.82,22.92,0.5,1.95
43.63,53.45,1.44,2.42
23.4,54.63,0.23,1.7
38.4,42.35,0.83,1.63
17.61,50.85,0.65,1.69
43.12,76.46,1.47,2.31
44.79,77.72,0.31,2.15
22.39,66.13,1.15,2.16
12.9,39.89,0.71,2.29
17.58,32.86,1.03,2.56
40.89,97.7,1.04,1.6
20.48,55.01,1.07,2.0
26.59,31.83,0.46,1.47
38.97,76.38,0.8,1.8
35.28,16.53,0.34,1.53
13.95,97.2,1.48,2.38
23.66,30.56,0.61,2.56
39.78,10.45,1.39,2.65
10.36,50.35,1.15,2.88
38.13,47.02,0.48,2.1
13.31,37.32,1.04,2.24
31.28,64.2,0.91,2.88
28.65,29.5,0.24,2.81
41.45,26.31,0.82,2.83
30.76,15.61,1.18,2.62
8.0,84.04,0.57,2.55
21.18,28.9,0.88,1.88
36.91,90.88,1.22,1.76
37.58,52.73,1.35,2.11
14.47,89.56,0.78,2.78
9.87,29.3,1.05,2.24
25.75,44.64,0.86,2.36
32.43,90.7,0.84,2.65
21.34,65.25,1.02,2.85
30.68,28.63,1.1,1.98
23.51,38.79,1.14,2.52
28.71,74.17,0.46,2.8
31.22,21.14,1.26,1.89
22.75,85.64,1.3,1.65
14.38,94.73,1.21,2.43
17.54,76.65,0.57,2.97
13.23,97.39,0.8,2.58
28.92,85.8,1.01,2.7
38.85,12.66,0.55,2.54
16.05,98.34,1.09,2.18
41.68,76.05,0.57,1.39
22.62,68.27,1.0,1.54
16.21,61.42,1.4,1.31
20.91,84.55,1.43,1.28
44.08,82.62,1.33,2.1
39.82,35.61,0.92,2.9
14.31,25.34,0.53,2.82
40.05,68.79,0.69,2.77
39.55,52.28,1.29,2.48
15.12,73.59,1.48,2.59
10.96,16.69,1.42,1.34
41.74,90.07,0.75,2.59
42.41,11.48,1.46,2.57
20.66,45.77,1.27,2.37
7.6,86.55,0.36,1.96
22.72,67.64,0.43,2.27
27.13,99.66,1.06,1.26
43.68,42.08,1.07,1.38
16.99,69.93,1.2,2.45
7.38,31.61,0.58,2.28
42.64,97.53,0.4,2.56
26.56,96.59,0.5,2.58
27.03,77.04,0.51,1.35
9.69,37.23,0.27,1.32
31.0,94.85,0.43,2.41
26.39,71.17,0.79,1.2
22.91,85.5,0.82,2.93
29.23,74.95,0.88,2.22
40.7,84.23,0.45,2.22
36.45,33.6,1.32,1.94
19.79,34.23,0.34,2.24
19.26,45.98,0.66,2.21
39.24,20.12,1.24,1.55
35.01,96.55,0.62,1.37
8.45,95.71,0.87,1.59
7.17,73.47,1.18,1.63
22.07,11.2,0.78,1.41
19.34,92.45,1.24,2.83
17.1,82.02,0.69,2.36
39.71,92.08,0.48,1.98
26.96,13.86,1.16,1.64
40.18,37.53,0.5,2.17
29.75,24.13,0.28,2.69
23.43,35.41,0.81,2.01
14.54,58.22,0.26,2.0
28.48,71.33,1.5,2.29
23.46,87.37,0.87,2.54
14.79,83.47,1.09,1.98
25.99,47.61,0.77,1.2
36.37,75.51,0.29,2.44
17.94,82.73,0.8,2.8
33.27,12.5,0.31,2.91
44.83,27.17,1.44,2.08
11.33,22.46,0.96,1.55
37.66,34.79,1.11,1.85
32.85,10.88,0.8,2.07
43.91,41.56,0.46,1.37
34.86,94.59,1.49,2.38
30.86,53.12,0.22,2.7
32.03,95.95,1.39,1.74
41.86,68.45,1.43,2.02
26.29,80.16,1.24,2.26
41.01,12.0,1.02,2.76
33.2,61.64,0.53,1.33
33.32,45.19,0.3,1.47
13.86,29.77,1.2,2.05
22.61,64.09,1.38,1.51
33.44,24.59,1.02,2.35
9.27,70.6,0.87,2.03
27.54,28.98,1.02,2.33
41.3,82.5,1.17,2.04
32.93,70.24,0.35,1.43
33.54,18.54,1.49,2.74
27.15,97.91,1.09,2.49
25.59,15.17,0.43,1.32
19.93,58.98,0.73,1.98
16.88,45.29,0.77,1.87
38.32,87.77,0.21,2.64
7.91,45.69,1.02,2.89
43.84,10.27,1.15,2.35
19.5,23.34,1.29,2.68
42.95,78.83,1.35,1.37
31.15,81.46,0.56,2.61
19.18,38.69,0.22,2.53
36.85,10.78,1.03,2.09
40.01,34.11,0.63,2.96
35.38,59.92,0.42,1.32
28.32,48.63,1.2,2.13
11.17,47.92,0.91,1.34
15.18,18.38,0.26,2.59
35.18,33.32,1.31,2.23
8.33,86.4,0.82,1.39
41.19,50.14,1.15,1.48
32.95,79.76,0.3,2.9
26.13,50.63,1.06,2.65
18.37,20.54,0.74,2.61
24.09,19.01,1.07,2.65
36.53,36.78,1.43,1.43
28.25,62.57,0.72,1.27
13.61,93.34,0.78,2.7
44.31,36.26,0.31,1.52
26.92,79.53,1.34,2.75
20.86,53.3,0.42,2.15
9.07,86.76,0.39,1.64
29.2,43.87,1.45,1.64
22.96,29.55,0.95,2.4
45.0,71.69,1.24,1.49
13.64,65.36,1.01,2.03
15.08,21.17,0.92,1.77
36.32,93.92,1.3,1.61
9.1,33.05,0.93,2.31
34.71,43.83,0.71,2.11
30.14,79.58,1.31,2.93
18.95,78.71,0.59,1.42
24.93,43.58,0.76,2.46
32.04,45.22,0.6,2.69
34.28,70.52,0.73,1.22
37.68,66.31,1.18,1.45
12.32,86.85,0.9,2.17
21.7,93.37,0.54,2.95
21.29,37.69,0.82,2.2
16.44,82.41,0.86,2.68
24.62,51.92,0.38,1.71
30.94,68.94,1.17,1.74
12.88,95.51,0.72,2.46
27.6,68.65,1.07,2.0
19.84,47.48,1.34,1.25
37.2,65.17,0.65,1.53
38.53,17.87,1.12,1.31
24.22,71.65,0.45,1.94
35.75,62.25,1.46,2.58
29.87,44.24,0.68,2.27
40.74,80.3,0.9,1.99
14.66,31.44,1.36,2.13
25.72,98.43,0.81,2.43
9.54,73.45,0.54,2.83
23.6,22.36,1.15,2.49
41.71,11.65,0.68,1.84
23.24,26.97,0.76,1.45
11.79,36.56,0.62,1.98
28.02,53.09,1.29,2.77
30.55,28.64,0.79,2.66
44.66,44.15,1.35,1.86
18.12,77.24,0.87,2.89
43.33,17.48,0.21,2.79
41.59,92.11,1.21,2.95
15.0,61.5,0.67,1.91
35.58,91.52,0.54,2.32
17.4,25.65,0.6,1.54
29.28,70.04,1.45,2.33
34.18,34.96,0.71,1.43
13.01,48.9,0.6,2.42
28.8,40.23,1.38,1.52
32.35,83.36,1.27,2.52
11.46,54.7,1.5,2.37
15.16,89.0,0.47,1.35
17.47,91.63,0.26,2.38
41.35,85.24,0.95,2.62
22.27,49.51,0.61,1.97
12.06,90.32,0.77,1.51
20.54,10.57,0.51,1.4
11.01,57.46,0.62,1.69
25.22,95.22,1.49,1.81
30.49,81.28,0.93,2.07
9.17,56.32,0.35,2.17
31.3,23.85,0.24,2.61
36.94,12.23,0.37,1.93
13.43,96.1,0.67,1.58
12.8,22.04,0.56,1.68
43.46,56.99,0.23,2.09
12.66,13.43,0.32,2.21
7.55,67.74,0.56,2.07
25.49,15.72,0.3,1.74
10.7,42.14,1.27,2.93
16.54,51.55,0.55,1.8
20.32,74.73,1.11,2.76
35.61,39.13,0.49,2.09
15.33,26.15,0.45,1.52
29.82,74.58,1.5,1.8
20.43,34.53,0.99,2.34
38.8,43.72,0.99,1.42
27.58,24.9,0.45,1.47
21.54,65.59,1.13,2.55
8.31,31.54,0.63,2.27
29.47,53.7,0.66,2.29
22.12,10.25,0.21,2.68
24.17,64.85,1.1,2.02
11.04,96.49,0.32,2.6
15.66,57.35,0.42,1.41
43.53,65.63,0.27,2.32
33.26,67.02,1.49,1.48
13.97,66.19,0.77,2.61
33.51,23.76,1.16,2.58
38.12,45.0,0.6,1.84
22.56,49.34,1.47,1.95
19.66,24.46,0.97,1.3
13.72,71.44,0.26,1.66
27.43,41.03,0.97,2.75
31.1,25.91,0.74,1.6
13.29,64.37,1.28,1.27
32.64,82.1,0.84,3.0
40.64,29.66,0.52,1.68
38.44,52.35,0.97,2.1
41.92,13.01,1.06,2.81
7.48,96.75,0.61,1.66
33.16,76.12,0.8,2.56
11.29,50.69,0.21,1.84
29.42,73.9,0.53,1.56
43.37,17.74,1.01,2.48
36.67,42.3,0.98,1.95
28.08,13.35,1.47,1.87
23.36,41.79,1.05,2.44
12.52,88.25,1.41,1.35
11.68,17.18,0.29,2.18
17.12,33.83,0.81,1.9
35.94,89.88,1.3,2.38
22.33,88.32,1.1,2.12
28.56,63.7,1.17,2.47
14.19,65.06,1.22,2.26
37.31,99.11,1.11,2.8
44.01,57.88,0.35,1.82
30.83,69.42,0.39,1.91
26.26,90.59,0.5,1.49
21.82,89.93,0.62,2.08
35.66,54.02,1.45,1.21
12.51,56.66,0.39,1.58
23.89,92.42,1.39,2.99
14.51,76.59,1.13,1.58
40.6,25.41,1.05,1.56
21.71,78.15,0.33,2.72
10.41,24.27,0.43,1.7
10.92,67.85,0.46,1.26
14.95,59.96,0.79,2.04
11.85,21.78,0.7,2.75
33.09,95.4,0.68,1.23
20.16,78.88,0.46,1.38
27.07,61.35,1.07,2.49
43.72,72.59,0.81,2.48
35.39,86.59,1.39,2.28
11.6,50.29,1.41,1.86
37.42,62.43,0.24,2.97
17.82,62.84,1.14,2.66
30.05,95.26,0.24,2.66
13.17,18.75,0.68,1.72
31.09,32.32,1.44,2.64
18.67,64.46,0.65,1.84
23.77,53.82,0.68,2.09
27.31,20.71,1.33,1.92
11.21,90.77,0.49,2.68
44.36,99.99,1.14,1.55
27.84,11.82,0.7,2.33
36.27,42.46,0.76,1.77
41.54,33.93,1.4,2.64
8.05,44.36,0.7,2.22
37.51,61.79,1.14,1.28
10.47,55.93,1.32,1.59
31.61,56.42,0.84,2.95
26.67,21.51,1.37,2.9
12.96,15.48,1.06,1.99
18.49,41.29,0.62,1.53
36.39,58.39,0.45,1.58
28.97,80.62,0.41,2.39
13.4,19.18,1.22,2.44
11.6,77.55,1.02,2.87
42.87,58.86,1.14,1.57
10.65,80.92,1.5,1.83
14.84,24.79,0.33,1.67
38.26,34.88,0.53,1.65
13.35,93.84,0.95,2.92
16.67,38.51,1.46,2.21
37.47,22.85,0.6,1.39
17.86,98.22,0.82,2.08
39.58,28.73,1.25,1.25
44.64,38.0,0.85,1.55
34.13,35.55,1.19,2.26
29.5,11.54,0.69,2.1
17.98,12.27,0.73,2.02
18.88,68.74,0.97,2.74
29.34,48.97,0.69,2.41
38.48,13.89,1.24,2.02
16.39,43.41,0.3,2.54
32.77,28.2,0.84,1.67
35.48,75.42,1.34,1.5
12.62,84.87,0.31,2.64
23.56,85.78,1.26,1.3
37.06,92.33,1.28,2.22
9.03,77.8,0.92,1.61
10.89,80.95,0.65,1.75
29.98,70.97,0.68,1.21
38.73,15.5,1.15,1.81
44.74,11.16,0.77,2.57
18.84,48.31,1.45,2.9
33.04,65.86,1.23,2.69
44.03,33.23,1.24,1.51
40.27,23.11,0.48,1.24
43.41,35.19,0.89,1.4
20.62,30.9,0.34,1.3
40.77,57.57,0.9,2.6
43.16,61.27,1.16,2.97
36.08,10.09,0.4,1.37
37.84,75.78,1.19,1.41
33.02,51.97,1.13,1.65
21.66,79.07,0.94,2.81
19.91,74.07,1.23,2.84
15.97,16.21,0.94,2.14
42.44,62.52,1.16,2.34
40.44,73.35,1.27,1.81
14.58,29.11,0.73,2.1
28.53,22.55,1.48,1.83
19.13,31.32,1.26,1.25
41.26,80.26,0.66,2.22
38.18,62.02,0.58,2.62
24.96,40.45,1.1,1.4
11.77,25.73,0.29,1.92
27.35,47.29,0.86,2.71
35.08,19.99,1.41,1.43
12.44,74.69,0.25,2.54
37.23,87.56,0.28,2.43
12.05,83.35,0.6,1.29
19.86,17.26,0.61,1.22
10.21,69.14,1.36,2.89
19.24,17.34,0.33,2.19
15.58,67.15,1.12,1.23
37.94,69.11,0.64,2.37
24.2,40.08,0.28,2.35
9.71,56.77,1.23,2.8
36.6,39.35,0.89,1.77
18.7,21.92,1.16,2.96
27.89,81.54,0.86,2.02
22.04,46.62,1.1,2.51
44.22,55.37,0.94,1.72
40.85,39.04,1.48,2.04
21.04,63.26,1.33,1.46
32.76,24.54,0.89,1.33
9.91,39.51,1.37,1.28
44.27,38.15,1.27,1.22
9.44,83.74,1.1,1.9
30.87,48.25,1.38,2.8
16.29,30.97,0.41,1.78
16.26,20.69,0.72,1.31
25.8,98.5,0.89,1.79
33.13,73.8,1.25,1.27
25.44,79.89,1.35,2.23
11.44,75.11,0.76,1.56
25.53,38.18,1.37,2.5
43.57,63.29,0.8,1.6
25.56,75.85,1.18,1.72
26.42,49.92,1.09,1.59
17.52,66.88,0.88,2.2
34.69,55.8,0.64,1.79
37.6,42.5,0.49,2.51
32.51,94.23,0.65,2.2
39.72,78.1,1.01,1.38
10.27,38.92,0.78,1.46
42.52,26.41,0.55,1.98
30.93,60.17,0.66,2.63
18.44,20.99,0.24,1.66
33.76,88.82,1.25,1.77
16.76,16.89,0.35,2.43
21.79,75.03,1.4,1.85
43.21,91.2,1.22,2.95
12.1,37.39,0.31,1.5
32.1,44.02,0.34,1.98
8.41,21.62,1.43,1.8
12.99,72.83,1.38,1.67
35.33,11.76,0.69,2.67
32.56,60.48,0.29,1.93
11.66,72.07,0.44,1.96
14.78,54.18,0.98,1.71
39.37,90.16,1.11,2.63
30.61,79.47,0.67,1.44
43.2,60.11,1.14,1.45
35.69,60.56,1.19,1.54
41.36,93.14,1.35,1.72
10.03,55.31,0.51,2.92
38.05,81.05,0.33,2.89
23.74,48.08,0.71,1.21
44.09,28.16,1.33,2.86
41.5,32.34,0.87,2.25
30.41,94.9,0.63,1.74
22.43,58.54,1.38,1.85
21.78,96.32,0.5,1.99
35.9,98.81,0.7,2.12
24.42,93.43,0.48,2.3
29.46,32.84,0.43,1.41
7.04,47.74,0.49,2.51
37.89,99.23,0.39,2.94
13.14,62.93,1.13,1.94
27.67,20.27,1.33,1.72
17.21,49.61,0.77,2.28
29.36,32.44,0.85,1.5
21.11,26.69,0.37,2.13
33.62,73.66,0.56,2.25
8.22,53.99,1.39,1.28
28.86,34.0,1.45,2.36
38.55,55.47,0.49,2.81
8.12,12.42,0.32,2.96
22.23,57.92,0.36,1.3
7.0,25.09,0.58,2.64
7.61,59.09,0.82,2.03
7.09,55.23,0.96,2.71
22.96,45.42,0.4,2.74
36.98,73.12,0.44,2.52
20.4,35.04,0.92,1.54
27.51,31.4,0.69,2.77
40.9,45.58,0.82,2.93
25.35,93.03,0.52,1.72
28.3,18.86,0.35,2.88
15.04,76.82,0.22,1.34
11.75,40.38,0.28,2.23
8.6,89.52,0.81,2.87
40.11,78.57,0.34,2.46
29.92,14.95,0.36,1.64
43.52,68.54,0.36,2.3
8.27,66.51,0.83,1.86
24.82,15.32,0.68,1.92
41.22,16.38,0.41,2.06
7.31,94.03,0.32,2.19
34.6,20.85,0.51,1.81
41.8,51.79,1.23,1.35
34.49,11.34,1.1,1.42
21.61,93.73,0.29,1.9
39.22,86.46,0.53,2.95
42.7,22.2,1.25,1.83
9.48,69.82,1.49,1.95
24.53,66.81,0.38,1.21
43.89,18.56,0.96,2.57
42.91,52.4,1.26,2.18
37.03,15.23,0.68,1.62
15.69,40.73,0.59,1.91
15.77,36.69,0.7,2.85
22.17,77.22,0.75,1.55
44.86,43.55,0.55,2.35
40.09,17.0,0.89,2.46
30.08,91.85,1.11,2.65
30.19,48.48,0.26,2.92
16.52,31.98,1.07,1.56
14.03,78.46,0.51,1.88
23.1,33.45,0.83,2.56
27.23,34.73,0.48,1.81
16.83,83.81,0.84,2.76
15.88,32.53,1.41,1.28
9.31,23.56,0.36,1.23
20.29,30.06,1.42,2.77
43.28,92.61,0.25,2.41
13.78,23.19,0.54,1.93
7.13,27.99,1.32,1.46
15.32,94.36,1.42,2.86
16.78,59.74,0.59,1.34
18.42,41.45,0.29,2.99
8.92,51.29,0.95,1.36
8.69,91.44,0.81,2.67
29.12,41.12,1.43,1.34
42.2,53.55,1.08,2.12
35.55,32.76,0.47,2.78
24.73,23.87,0.88,2.28
29.67,86.92,0.86,1.42
26.82,35.23,1.34,2.36
23.03,48.85,1.38,1.97
41.62,47.83,0.47,1.48
29.58,64.93,0.45,1.37
24.77,63.1,0.77,2.06
8.19,36.35,0.98,2.42
34.06,80.47,0.93,1.89
39.02,84.42,0.52,1.24
39.48,46.7,0.74,1.29
17.66,48.4,0.56,2.79
42.79,29.89,0.84,2.96
40.8,11.95,0.3,2.71
32.4,80.09,1.22,1.26
28.83,71.28,1.26,2.6
36.76,74.83,0.69,2.53
23.96,58.51,0.49,2.88
29.88,58.04,1.0,1.62
33.69,65.5,1.08,1.55
12.83,91.07,0.94,2.79
34.21,88.43,0.22,2.82
42.35,35.81,0.75,1.76
26.89,50.95,0.99,2.97
28.36,51.71,1.4,1.69
15.71,86.04,0.85,2.56
34.82,97.6,0.36,2.54
24.26,99.4,0.67,2.69
44.89,40.52,1.17,2.98
7.77,22.26,1.18,2.57
9.79,60.68,1.03,2.82
17.44,82.19,1.37,2.75
37.77,63.89,0.96,2.85
11.91,39.71,1.34,2.0
35.83,49.29,0.63,2.28
28.2,85.01,0.85,2.87
20.97,87.7,0.52,2.34
24.99,28.36,0.36,2.19
30.33,57.18,0.72,2.19
29.1,22.97,1.44,1.66
16.12,12.59,1.03,1.71
10.78,70.14,0.46,2.97
24.48,14.47,0.63,2.13
16.02,93.22,0.75,1.81
19.31,38.57,0.7,1.82
39.11,50.54,1.31,1.57
30.25,86.14,0.3,2.52
7.85,59.38,0.44,2.71
9.6,54.91,0.33,1.74
18.54,35.7,0.78,1.42
28.96,72.72,1.23,2.04
14.17,14.15,1.34,2.7
19.56,53.26,1.24,1.63
21.95,66.54,1.06,1.33
16.58,67.34,0.32,2.18
31.74,17.41,0.85,1.3
44.34,99.74,1.13,2.25
41.12,67.58,1.44,2.31
37.25,51.4,1.26,2.04
27.75,51.11,1.18,2.94
38.03,41.15,1.01,1.73
14.72,78.31,1.0,2.48
29.57,69.0,0.98,1.97
34.46,98.02,0.55,2.08
18.03,94.14,1.42,2.71
33.34,54.4,1.48,1.8
10.19,41.87,1.46,2.07
36.51,91.78,0.97,2.92
42.47,60.59,0.86,1.76
33.39,58.61,0.47,1.77
13.65,26.02,0.43,1.99
21.51,67.26,1.09,2.96
26.35,59.48,0.92,1.61
18.22,69.3,0.42,1.25
41.56,85.31,0.42,1.59
31.56,15.06,1.17,1.4
27.9,60.23,0.39,2.6
18.57,58.09,1.09,1.57
44.2,47.11,0.83,2.41
12.23,81.3,1.29,2.91
40.52,27.89,0.64,2.39
34.51,43.1,1.21,1.43
7.66,95.5,0.72,2.67
17.27,57.27,1.37,2.99
9.37,58.93,0.89,2.88
36.14,30.38,0.98,2.47
34.05,54.3,1.05,2.45
8.49,24.72,0.71,1.38
19.05,96.27,1.29,2.14
31.46,98.98,0.64,1.91
32.23,60.33,0.37,2.26
25.89,28.51,1.47,2.24
27.71,22.63,1.25,2.11
25.83,90.54,0.24,2.72
27.2,65.98,0.67,2.66
20.2,69.98,0.99,2.38
38.9,91.9,0.9,2.44
34.56,97.11,1.45,2.46
9.84,25.23,0.66,2.44
33.48,63.14,1.0,2.24
28.22,14.41,0.34,1.29
14.11,67.12,0.96,2.5
18.91,92.21,0.22,1.45
39.4,37.05,1.21,1.48
27.47,87.08,1.4,2.99
18.33,46.41,0.24,1.39
15.61,79.71,1.32,2.78
17.02,63.62,1.3,1.35
8.77,78.65,0.44,1.22
9.96,87.98,0.35,1.65
10.87,74.48,0.79,2.94
44.95,89.08,0.22,1.24
42.03,64.74,0.97,1.79
42.16,65.77,1.31,2.14
19.03,83.05,0.76,2.81
9.15,93.53,1.36,1.5
35.45,28.34,1.2,1.69
26.7,45.82,0.51,2.05
18.79,14.68,0.27,1.21
