Lch,Wch,Tox1,Tox2
30.23,38.25,1.3,1.49
20.33,89.81,0.83,2.74
23.87,44.46,0.48,1.79
24.94,54.97,1.06,2.79
43.48,41.98,1.06,2.36
26.75,61.47,0.73,2.11
13.82,23.0,0.99,2.53
39.39,11.2,0.85,1.41
18.49,54.78,1.38,2.06
22.03,38.91,0.42,2.55
14.25,60.02,0.29,1.91
34.94,12.01,0.38,2.73
28.33,35.9,1.48,1.51
23.88,55.83,1.31,2.5
40.84,82.99,0.81,2.49
33.16,45.53,0.94,1.22
40.58,68.05,1.14,2.17
32.86,93.69,1.44,2.13
12.89,67.24,1.25,2.74
37.21,62.15,0.74,2.51
29.84,94.14,0.24,1.71
36.74,84.54,0.36,1.57
43.39,40.94,0.95,1.57
12.38,71.33,0.4,1.23
39.29,55.97,0.8,1.62
29.79,60.74,0.48,1.81
43.85,29.67,0.86,1.45
37.44,30.52,1.39,1.27
35.86,50.8,0.64,2.09
39.79,22.59,0.26,1.33
7.73,55.13,1.05,1.34
26.01,78.11,0.8,2.84
20.28,12.67,0.44,2.11
42.85,82.58,0.84,2.3
32.47,64.55,0.21,2.86
22.44,87.68,0.78,1.92
15.32,82.69,1.27,1.58
24.38,60.51,0.75,1.48
37.63,64.16,0.99,1.99
42.79,26.3,0.88,2.71
41.2,99.89,0.82,2.12
10.64,40.64,0.77,1.84
37.51,59.43,0.61,1.22
42.88,39.07,0.81,2.11
42.54,64.66,0.84,2.63
24.72,88.14,0.42,2.9
31.04,68.23,0.68,1.5
13.39,81.14,1.12,2.34
38.15,92.95,0.76,2.01
19.28,51.1,1.04,1.72
42.37,83.73,1.07,1.71
43.01,38.01,0.22,1.63
25.35,98.43,0.77,1.72
15.48,47.15,0.92,2.48
27.34,18.14,0.38,1.36
33.73,88.09,0.77,1.42
15.15,49.87,1.2,2.77
33.5,43.66,1.45,1.75
33.88,22.1,1.15,2.4
15.34,65.47,1.22,2.19
21.1,41.6,0.57,1.66
8.92,74.37,1.14,2.36
33.02,51.55,0.95,1.89
43.42,86.5,0.63,2.8
29.89,23.39,0.72,1.79
20.54,77.03,0.94,1.53
13.43,46.14,1.08,2.23
24.87,34.79,0.29,2.91
22.85,58.86,0.49,2.89
40.12,53.89,0.41,2.73
42.08,66.09,1.48,2.46
26.22,49.52,0.68,1.96
25.9,40.51,0.93,1.37
37.39,85.13,0.94,1.57
18.96,23.05,0.55,2.66
26.37,91.45,0.81,1.76
42.21,70.86,0.24,2.9
19.12,97.33,1.09,2.22
10.42,66.92,0.59,1.93
12.55,66.55,0.44,2.75
23.28,31.7,0.69,1.49
7.46,79.78,0.31,2.94
15.64,16.25,1.19,2.03
20.81,65.32,0.51,1.9
21.8,86.6,0.79,1.61
37.82,67.87,1.16,1.66
9.05,79.39,1.26,2.97
14.74,65.56,0.67,2.42
24.31,49.21,0.64,1.35
30.58,12.35,1.29,2.33
25.94,55.45,1.34,2.63
25.6,28.65,0.35,2.59
21.05,16.56,0.44,1.42
33.53,19.81,0.75,2.13
25.65,10.28,0.26,2.44
15.57,45.91,0.6,2.58
33.85,95.67,0.8,2.47
10.7,86.72,1.22,2.66
31.56,78.84,0.28,1.96
25.97,38.14,0.91,2.25
43.63,84.69,0.27,2.21
24.56,47.54,1.14,1.52
10.91,42.11,0.73,2.03
35.89,28.72,1.43,2.37
42.6,24.93,0.97,1.44
9.99,17.43,1.04,1.67
31.97,38.78,0.31,1.97
17.4,37.32,0.9,2.03
21.99,19.18,0.54,1.46
23.55,41.74,1.31,2.98
43.24,21.47,0.99,2.87
39.9,97.21,0.71,1.76
11.77,12.85,0.7,1.83
16.69,95.23,1.32,2.89
37.54,73.01,1.3,1.31
11.3,65.95,1.03,2.54
31.13,17.3,1.26,2.41
10.83,23.69,0.76,1.3
16.57,29.86,1.44,2.75
28.11,71.23,1.04,2.98
24.65,60.6,0.35,1.62
22.57,58.63,0.68,1.64
32.61,22.3,0.52,1.23
12.96,41.22,1.42,1.65
28.75,99.97,0.6,1.53
12.72,76.25,0.98,1.46
27.83,93.06,0.4,1.56
40.42,36.62,0.87,1.28
33.79,47.83,0.23,1.23
17.62,42.23,0.75,1.94
18.17,28.94,0.98,1.27
28.27,71.46,0.88,2.14
36.22,27.69,0.93,2.84
18.23,33.19,0.49,1.95
17.28,92.44,0.67,2.45
40.25,41.44,1.04,2.85
27.48,51.75,1.07,2.51
37.69,34.2,0.76,2.51
26.53,27.12,1.3,1.94
19.11,31.28,1.29,2.96
19.89,37.79,1.11,2.08
25.66,53.25,1.13,2.09
31.83,52.42,0.2,2.66
44.01,32.85,0.55,2.84
30.38,58.92,0.51,2.26
27.0,15.69,1.4,1.48
17.75,95.91,0.73,2.68
30.55,86.86,1.38,2.61
31.35,50.64,1.15,2.84
24.04,89.13,0.47,2.84
15.8,12.94,0.57,2.83
30.08,49.61,1.33,2.55
23.52,94.31,0.35,2.26
19.33,28.19,0.42,1.6
25.87,87.42,1.06,2.29
18.54,55.48,1.11,1.55
28.3,34.45,1.23,1.31
31.88,21.43,1.28,1.26
36.38,28.15,0.71,1.35
19.41,19.87,0.58,2.59
12.46,38.33,1.45,1.91
7.7,49.03,0.5,2.49
14.21,24.77,0.97,1.26
9.16,10.55,1.41,1.61
23.26,49.39,0.34,2.24
32.07,77.47,0.35,2.31
29.85,15.16,0.23,2.76
27.25,51.48,1.48,2.54
18.41,75.7,0.66,1.21
44.52,25.7,0.56,1.88
12.6,24.74,1.44,2.27
35.6,81.77,0.72,2.41
44.86,22.39,0.58,2.68
27.81,88.72,0.92,1.75
42.27,86.09,0.79,1.46
31.29,26.38,0.56,2.1
34.3,35.15,0.53,2.3
30.21,52.74,1.18,2.65
38.97,72.84,0.65,2.81
38.6,18.87,0.31,2.88
39.74,42.51,0.27,2.67
20.37,26.02,1.21,2.06
29.37,96.62,1.16,1.98
38.57,84.25,0.47,2.45
15.59,70.16,0.73,2.34
29.46,33.85,1.15,1.69
39.33,56.19,0.7,2.01
17.54,71.62,0.74,2.21
14.83,74.78,0.47,2.98
13.96,97.45,1.12,1.75
37.81,11.14,1.15,2.52
19.7,74.46,1.25,2.37
41.12,19.69,0.99,2.29
21.51,62.85,0.78,2.39
15.18,13.14,1.24,2.97
32.24,13.89,0.3,2.55
8.11,14.74,0.89,1.3
41.01,46.33,0.6,2.24
16.47,76.49,1.47,2.61
19.36,50.56,1.11,2.79
9.53,86.56,1.22,2.3
24.67,50.88,0.26,2.38
20.78,79.61,0.68,1.82
41.47,87.78,0.57,1.45
9.93,88.65,0.89,2.62
13.73,90.05,0.58,1.67
14.91,73.49,0.32,1.81
11.16,72.69,1.48,1.4
18.03,35.49,1.24,2.32
26.28,56.49,0.58,1.68
17.24,34.75,1.44,2.2
30.42,91.69,0.5,2.04
13.86,85.37,0.37,1.22
10.76,67.82,0.28,1.94
17.1,37.22,1.49,2.54
34.16,76.66,0.28,1.77
8.84,37.14,0.98,2.84
22.96,72.4,1.2,1.54
25.13,88.51,1.4,2.25
19.55,47.91,0.67,1.68
39.23,13.33,0.6,1.83
12.0,55.24,0.36,2.19
39.56,19.95,0.52,2.41
25.46,80.87,0.86,2.41
19.02,93.55,0.99,1.2
29.41,56.65,0.45,2.25
21.47,16.31,0.28,1.69
31.68,45.42,0.87,2.45
23.18,61.25,0.21,1.56
18.69,45.28,0.69,2.0
34.58,43.45,0.63,2.64
26.83,78.26,0.31,2.87
13.57,36.18,0.22,2.95
29.17,10.88,1.37,2.72
18.25,29.16,0.84,1.88
15.77,75.57,1.14,2.05
36.56,95.13,1.15,2.17
13.19,53.8,0.63,2.89
13.08,77.58,0.36,2.68
10.03,52.6,1.04,2.48
41.71,52.0,1.08,2.46
17.49,55.07,0.21,1.92
35.26,81.6,1.04,1.41
24.17,48.7,0.89,1.87
8.23,98.03,1.09,2.57
33.23,36.41,0.36,2.53
43.91,11.53,1.37,1.54
18.64,71.06,0.46,2.78
17.97,82.22,1.46,1.68
24.53,70.38,0.75,2.35
23.81,24.05,1.43,1.28
31.93,65.66,1.22,1.49
23.1,36.98,0.68,2.8
36.46,46.68,1.12,1.22
7.99,40.21,1.37,1.71
42.64,30.4,0.39,2.35
38.3,30.5,1.38,2.99
42.18,79.91,1.36,1.98
36.37,44.9,0.9,1.63
37.93,79.21,0.96,1.65
38.48,18.75,0.46,2.5
18.83,67.05,0.33,1.75
21.37,45.6,0.86,1.32
33.12,13.82,0.81,1.26
41.16,71.19,0.72,1.35
20.52,73.28,0.76,2.58
19.43,61.93,0.32,1.22
16.61,85.63,1.26,2.46
22.89,50.1,1.03,1.84
27.53,20.12,0.53,2.29
41.93,13.57,0.44,1.25
41.27,67.34,0.9,2.42
18.92,80.03,0.67,2.77
30.82,31.38,0.91,1.38
20.95,99.15,0.4,1.87
28.94,53.48,0.61,1.45
16.19,33.75,0.23,2.8
8.47,98.67,0.67,1.8
9.45,99.66,1.16,2.35
36.31,88.48,0.97,2.32
19.27,90.01,0.29,2.85
18.74,50.33,1.47,2.75
44.6,96.86,0.7,1.88
34.1,98.96,1.37,2.38
32.58,20.62,1.28,1.34
26.93,84.93,0.69,1.53
17.46,90.54,0.66,2.37
35.52,19.12,0.62,1.26
42.3,41.53,0.59,2.08
30.37,66.43,1.21,1.85
32.36,92.62,0.46,1.93
26.39,34.0,0.4,2.05
7.07,98.57,1.1,1.39
30.77,80.25,1.1,1.79
14.0,85.77,0.34,2.01
22.2,77.8,1.44,2.98
15.37,24.17,1.26,2.49
43.87,23.64,0.57,2.69
32.79,44.96,0.62,1.86
27.6,21.83,1.39,2.55
18.3,44.1,1.06,1.63
29.2,25.81,0.44,2.62
8.98,17.22,0.25,1.83
36.94,41.23,0.35,2.02
31.5,70.83,1.0,1.97
37.14,49.3,0.41,2.93
16.14,24.45,0.55,1.9
15.91,23.54,0.34,1.52
19.69,22.04,1.45,1.99
26.13,16.66,0.78,2.81
10.65,95.38,1.07,1.56
28.62,41.78,1.49,1.68
13.16,32.5,0.46,2.57
39.46,89.01,1.49,1.74
40.29,69.83,1.28,2.51
24.46,40.09,0.46,1.87
10.97,39.04,1.05,2.85
25.23,29.04,0.43,1.24
24.0,73.61,1.17,1.33
34.79,54.87,0.89,1.26
12.22,87.57,1.01,1.55
17.68,79.05,0.3,1.96
22.87,53.07,1.06,2.62
13.53,35.42,0.26,2.46
44.23,15.27,0.3,2.95
19.63,46.44,0.36,2.44
40.64,97.08,0.68,2.97
32.28,62.6,1.19,1.49
9.32,80.45,0.71,1.98
14.83,55.79,0.59,2.36
23.13,38.64,0.66,1.6
17.11,82.48,1.2,1.27
31.77,53.74,0.57,1.43
26.11,99.46,1.27,1.56
14.04,40.79,0.7,1.33
42.48,89.41,1.12,2.4
14.9,31.44,0.52,1.63
7.58,75.04,0.31,1.4
26.18,89.05,0.56,2.66
13.92,68.34,0.75,1.32
8.82,56.07,1.26,2.06
16.93,23.93,1.02,2.76
9.04,57.83,0.48,1.94
36.71,99.6,0.49,1.44
31.36,75.99,1.0,1.93
33.26,83.95,0.85,1.47
31.21,68.15,0.57,1.98
21.22,31.99,1.18,2.69
35.56,28.56,0.21,2.63
41.13,72.99,0.65,1.46
37.33,54.02,0.55,1.29
18.88,85.86,1.33,1.24
23.64,37.72,1.22,2.7
22.19,42.35,0.37,1.87
32.94,25.33,0.61,2.37
30.84,91.79,1.38,2.18
30.65,15.53,0.62,1.75
13.74,59.09,0.49,2.24
21.43,93.74,0.34,1.69
11.02,74.63,0.34,2.47
42.42,83.3,1.11,2.76
12.34,44.73,1.42,2.14
10.2,88.24,0.47,1.6
26.49,89.49,1.34,1.77
44.91,30.79,1.45,1.95
20.66,83.52,0.92,1.96
28.44,20.41,0.7,2.17
27.73,14.27,0.55,2.37
36.94,32.37,0.54,1.99
13.08,75.22,0.5,2.09
8.54,20.9,1.25,2.12
15.4,90.11,0.47,2.15
29.29,47.74,1.08,2.57
40.88,16.06,0.32,2.14
35.1,18.37,1.47,2.83
8.2,19.33,1.23,2.48
30.87,93.16,1.2,1.39
37.99,98.79,1.37,2.12
10.87,40.36,0.86,1.39
16.42,44.77,0.23,2.63
30.98,28.88,1.21,1.29
28.02,80.64,0.54,2.95
16.82,96.05,0.72,2.59
41.89,17.59,0.63,1.39
21.94,85.98,0.95,2.13
21.64,14.48,0.52,2.38
10.28,47.38,0.28,1.47
25.47,14.41,1.4,1.57
13.89,17.0,0.53,2.52
16.08,30.66,1.36,2.55
32.72,10.07,0.88,1.91
11.26,48.2,0.39,1.53
16.45,15.01,0.2,2.23
39.92,99.25,0.43,1.33
27.56,60.08,0.55,1.7
21.12,25.56,1.21,2.82
40.01,81.36,0.78,2.72
35.0,46.96,0.51,2.18
7.44,63.42,1.18,2.27
34.22,91.89,0.68,2.09
44.16,87.16,0.82,2.23
44.73,83.44,1.48,2.68
21.21,58.22,0.83,2.46
23.99,32.51,1.17,2.79
23.69,57.15,0.73,1.34
41.55,23.19,0.5,2.28
33.43,18.92,1.41,2.35
42.7,10.48,1.41,1.88
24.99,83.59,1.03,1.59
7.65,36.48,1.41,1.36
24.41,17.7,0.41,2.28
40.77,54.25,0.98,2.13
22.09,29.89,0.47,2.83
44.31,71.02,1.02,1.21
29.98,90.88,0.54,1.66
13.3,90.37,0.23,1.32
22.08,67.62,0.65,2.94
20.38,13.16,1.3,1.9
36.63,16.01,0.33,1.74
22.15,27.97,1.39,2.54
39.58,62.71,0.32,2.07
9.49,58.57,0.43,2.93
9.24,57.17,0.8,2.27
11.67,75.81,1.28,2.86
34.69,25.07,1.43,1.34
16.34,51.39,0.7,2.96
33.71,52.76,0.23,2.03
23.6,60.31,0.23,1.71
41.88,97.78,0.77,1.9
32.56,22.93,0.71,2.86
42.04,49.49,0.36,1.85
12.51,54.38,1.22,1.24
43.82,92.36,1.21,2.85
43.14,17.12,1.0,1.25
9.85,97.93,1.12,2.43
40.19,95.58,0.85,2.38
16.89,93.18,0.98,2.8
35.12,60.2,0.61,1.45
28.72,44.37,0.21,2.08
29.62,69.38,1.24,2.08
26.97,24.65,0.64,1.72
22.63,11.92,1.01,2.31
15.12,69.92,1.03,2.26
25.42,84.79,1.4,2.43
44.78,32.91,0.47,2.45
39.04,48.57,1.01,1.78
20.49,83.12,1.4,2.34
42.76,59.21,0.35,2.04
29.03,34.28,0.5,2.42
13.01,16.45,0.41,2.16
12.99,94.22,0.77,1.35
11.73,20.88,1.46,1.6
26.71,31.89,1.33,2.09
39.01,71.78,0.43,2.6
38.64,93.46,0.74,1.8
11.12,93.32,1.25,1.66
31.08,24.03,0.48,1.37
39.12,31.56,0.87,2.04
13.36,92.22,1.24,2.17
11.43,52.51,0.63,1.85
20.18,64.38,0.79,3.0
37.23,29.79,1.14,1.82
15.24,60.99,1.17,2.42
43.75,80.83,0.41,1.83
21.89,66.29,0.22,1.91
13.69,44.01,0.93,1.47
28.9,64.85,0.51,1.38
13.59,63.31,1.04,1.48
20.44,68.09,0.81,1.76
28.88,29.55,0.67,2.88
27.71,37.89,1.16,2.94
34.61,48.15,0.46,1.3
23.37,94.94,0.71,2.65
36.89,78.66,1.49,1.42
36.06,33.64,0.71,2.04
31.52,56.33,0.28,1.21
25.3,33.11,0.94,2.74
26.32,62.35,1.38,1.43
16.71,87.05,0.42,1.37
9.25,33.36,0.23,2.23
7.85,64.06,0.83,3.0
27.2,35.09,0.98,2.54
7.18,41.05,1.18,1.69
14.6,34.88,0.38,2.48
26.89,65.01,0.31,2.96
15.46,19.09,0.33,2.89
13.34,34.52,1.2,1.21
38.4,77.98,1.26,2.15
16.36,35.59,1.17,2.63
39.51,81.89,0.25,1.55
17.88,91.12,1.39,1.2
14.51,70.57,1.32,2.66
31.0,10.78,0.37,2.11
40.67,53.44,0.39,2.78
11.22,71.98,0.59,2.93
26.78,46.47,0.59,2.23
29.5,77.63,1.16,1.55
36.16,85.04,0.21,1.59
38.25,39.73,1.15,2.86
26.42,69.42,0.93,2.74
8.08,83.88,1.35,2.93
29.71,45.15,0.61,1.99
40.52,59.37,0.37,1.95
41.35,59.7,0.9,2.91
23.38,38.49,1.35,1.56
14.08,26.52,1.06,2.29
9.12,94.74,0.67,2.32
26.25,35.71,0.53,1.99
37.55,43.15,0.25,1.3
35.23,32.12,1.2,2.7
24.49,25.25,0.34,2.25
34.88,26.58,1.0,1.42
33.6,88.8,0.46,2.58
37.59,59.54,0.84,1.6
35.78,94.53,1.28,2.91
12.19,33.02,0.97,1.76
22.35,28.42,0.44,2.5
32.74,18.53,1.13,1.32
15.09,73.23,0.39,1.26
10.52,18.0,0.96,2.02
27.65,27.51,1.43,1.51
44.48,17.07,0.58,1.89
14.38,82.03,1.35,2.34
21.59,76.53,0.44,1.74
30.49,19.6,0.2,2.97
43.09,27.57,0.83,1.66
25.57,43.49,0.85,2.61
28.15,12.75,0.95,2.78
22.29,98.52,1.29,1.67
29.6,70.57,0.58,2.2
43.34,63.5,0.62,2.75
16.96,77.12,0.49,1.61
32.66,96.4,0.74,1.7
34.55,86.99,1.36,1.79
19.54,88.85,0.69,2.73
35.34,20.32,1.31,1.36
19.47,86.86,1.32,2.56
37.05,81.24,0.95,2.36
20.69,91.21,0.72,2.71
14.66,39.98,1.12,1.55
7.33,75.25,0.27,2.96
8.76,53.98,0.96,1.65
28.51,14.17,0.52,2.21
43.11,25.92,1.22,2.29
35.99,37.6,0.24,2.45
40.94,43.22,0.32,2.85
25.26,64.48,0.29,1.92
24.8,74.53,0.41,2.73
35.94,64.25,0.44,2.1
27.27,91.07,0.76,1.54
24.21,67.58,1.32,1.97
8.97,40.71,0.59,2.77
22.36,68.44,0.91,2.02
13.77,96.56,0.69,1.97
38.04,58.34,0.4,1.84
17.59,34.34,1.22,2.57
42.98,87.31,1.47,1.41
9.19,48.35,0.66,2.13
39.37,43.58,0.6,2.39
26.84,73.64,0.88,1.48
33.97,15.59,0.72,1.73
7.51,20.23,1.16,2.01
42.26,49.81,1.35,2.12
13.25,13.01,0.79,2.01
15.97,91.48,0.78,1.53
41.64,90.7,0.82,2.16
14.11,66.16,1.23,2.4
13.47,12.47,1.07,2.43
40.44,38.54,0.64,2.69
17.8,50.43,0.94,2.99
8.63,52.29,1.4,1.97
36.24,27.89,1.13,2.51
32.33,35.3,0.66,1.45
8.27,44.55,0.33,2.1
10.05,67.5,1.34,2.94
24.61,89.26,0.8,2.01
7.99,45.64,0.71,2.98
8.9,71.9,0.77,2.99
44.25,57.29,1.32,2.75
35.66,94.85,0.73,1.5
11.91,21.65,0.22,2.79
34.38,67.07,0.75,1.89
33.94,77.15,1.15,2.12
9.6,36.73,0.44,1.84
43.64,56.14,0.83,1.91
9.63,20.73,1.23,2.15
16.24,89.31,0.55,1.71
20.91,42.63,0.31,2.92
11.48,79.41,0.77,2.65
11.85,25.15,0.39,2.53
12.84,65.38,0.64,2.19
